,MSFT
% Below High,0.0316
% Held by Institutions,0.7187
52-Wk Range,['119.01 - 190.70']
Annual Dividend $,2.04
Annual Dividend %,0.0111
Ask,184.75
Ask Size,1100.0
B/A Ratio,0.45454545454545453
B/A Size,500x1100
Beta,1.0
Bid,184.61
Bid Size,500.0
Closing Price,184.68
Day Change $,1.08
Day Change %,0.0059
Day High,185.0
Day Low,183.36
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",5.67
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.401
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,1.4T
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.39
Prev Close,183.6
Short Interest,0.0070999999999999995
Today's Open,184.98
Volume,30912638.0
Volume 10-day Avg,36793562.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.23903508771929838
Growth 1yr High Est,0.2467811158798281
Growth 1yr Consensus Est,0.24290810179956324
Growth 2yr Low Est,0.13898657040832174
Growth 2yr High Est,0.2137520037230466
Growth 2yr Consensus Est,0.17636928706568417
Growth 5yr Low Est,0.1614407823886166
Growth 5yr High Est,0.20745860077262934
Growth 5yr Consensus Est,0.18444969158062297
Growth 5yr Actual/Est,0.1732103121649215
Growth 3yr Historic,0.10088952777864824
Price/Earnings (TTM),32.38552
Price/Sales (TTM),10.03843
Price/Book (MRQ),12.17041
Price/Cash Flow (TTM),24.91535
5yr Low,39.72
5yr High,190.7
5yr Avg Return,0.2666
EPS Growth 5yr,0.12548
Revenue Growth 5yr,0.0770326
Dividend Growth 5yr,0.1096289
Short Int Current Month,53310482.0
Short Int Prev Month,58762671.0
Short Int Pct of Float,0.0071104
Days to Cover,1.1278
Float,7475.252
Shares Outstanding,7583.44
Institutions Holding Shares,4553.0
FCF Growth 5yr,0.10999006848394907
"Price/Earnings (TTM, GAAP)",32.39
"PEG Ratio (TTM, GAAP)",2.13
Gross Profit Margin (TTM),0.6817000000000001
Operating Profit Margin (TTM),0.3737
Net Profit Margin (TTM),0.3148
Annual Dividend Yield,0.0111
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.09
EPS Growth (MRQ),-0.0751
EPS Growth (TTM),0.2585
Revenue Growth (MRQ),-0.051100000000000007
Revenue Growth (TTM),0.1349
Return On Equity (TTM),0.4171
Return On Assets (TTM),0.1592
Return On Investment (TTM),0.2002
Revenue Per Employee (TTM),963188.0
Total Debt/Total Capital (MRQ),0.3965
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),2.88
Interest Coverage (MRQ),84.8
newConstructs,2
researchTeam,hold
creditSuisse,outperform
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,buy
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
creditSuisse since,2017-04-27 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-07-22 00:00:00
theStreet since,2018-04-27 00:00:00
ford since,2020-05-01 00:00:00
