,PEP
% Below High,0.08810000000000001
% Held by Institutions,0.7021
52-Wk Range,['101.42 - 147.20']
Annual Dividend $,4.09
Annual Dividend %,0.0311
Ask,134.63
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,0.6
Bid,134.26
Bid Size,1000.0
Closing Price,134.23
Day Change $,2.68
Day Change %,0.0204
Day High,135.16
Day Low,132.46
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",5.17
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.35700000000000004
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,186.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.95
Prev Close,131.55
Short Interest,0.0084
Today's Open,133.07
Volume,4209378.0
Volume 10-day Avg,5043981.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.09454545454545449
Growth 1yr High Est,0.04693140794223827
Growth 1yr Consensus Est,-0.02380702330160811
Growth 2yr Low Est,-0.005104052573932094
Growth 2yr High Est,0.06656915224698123
Growth 2yr Consensus Est,0.03073254983652457
Growth 5yr Low Est,0.015028707721158968
Growth 5yr High Est,0.046698891692978584
Growth 5yr Consensus Est,0.030863799707068776
Growth 5yr Actual/Est,0.03203726902812129
Growth 3yr Historic,0.014812443837874723
Price/Earnings (TTM),25.94859
Price/Sales (TTM),2.73254
Price/Book (MRQ),13.84667
Price/Cash Flow (TTM),19.06286
5yr Low,76.48
5yr High,147.2
5yr Avg Return,0.06603333333333333
EPS Growth 5yr,0.0401325
Revenue Growth 5yr,0.0014296
Dividend Growth 5yr,0.0841147
Short Int Current Month,11635085.0
Short Int Prev Month,10502394.0
Short Int Pct of Float,0.0083882
Days to Cover,2.16332
Float,1385.528
Shares Outstanding,1387.5
Institutions Holding Shares,3074.0
FCF Growth 5yr,-0.07629627333474173
"Price/Earnings (TTM, GAAP)",25.95
"PEG Ratio (TTM, GAAP)",5.59
Gross Profit Margin (TTM),0.5534
Operating Profit Margin (TTM),0.1496
Net Profit Margin (TTM),0.10710000000000001
Annual Dividend Yield,0.0305
Dividend Change %,0.0571
"Dividend Growth Rate, 3 Years",0.0861
EPS Growth (MRQ),
EPS Growth (TTM),-0.4133
Revenue Growth (MRQ),
Revenue Growth (TTM),0.0489
Return On Equity (TTM),0.5247999999999999
Return On Assets (TTM),0.091
Return On Investment (TTM),0.1226
Revenue Per Employee (TTM),587569.0
Total Debt/Total Capital (MRQ),0.7526
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),5.72
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2018-07-09 00:00:00
cfra since,2020-03-21 00:00:00
ford since,2019-08-02 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-03-27 00:00:00
