,PEAK
% Above Low,0.3017
% Held by Institutions,1.0105
52-Wk Range,['18.63 - 37.93']
Annual Dividend $,1.48
Annual Dividend %,0.06309999999999999
Ask,24.6
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,22.93
Bid Size,100.0
Closing Price,24.25
Day Change $,0.8
Day Change %,0.0341
Day High,24.43
Day Low,23.38
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.53
Last (size),82200.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
"P/E Ratio (TTM, GAAP)",48.38
Prev Close,23.45
Short Interest,0.015
Today's Open,23.69
Volume,2662935.0
Volume 10-day Avg,4131317.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8333333333333335
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,0.41666666666666674
Growth 5yr Low Est,0.8333333333333335
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,0.41666666666666674
Growth 5yr Actual/Est,0.6151582792207793
Growth 3yr Historic,0.1464082792207793
Price/Earnings (TTM),48.38002
Price/Sales (TTM),6.08143
Price/Book (MRQ),1.80333
Price/Cash Flow (TTM),12.86438
5yr Low,18.63
5yr High,40.9
5yr Avg Return,-0.05641666666666666
EPS Growth 5yr,-0.3057413
Revenue Growth 5yr,0.040618100000000004
Dividend Growth 5yr,-0.07453280000000001
Short Int Current Month,7553000.0
Short Int Prev Month,8682579.0
Short Int Pct of Float,0.0149626
Days to Cover,1.82905
Float,537.4396
Shares Outstanding,538.2703
Institutions Holding Shares,835.0
FCF Growth 5yr,2.951366237647521
"Price/Earnings (TTM, GAAP)",48.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4938
Operating Profit Margin (TTM),0.1184
Net Profit Margin (TTM),0.1385
Annual Dividend Yield,0.061
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.1094
EPS Growth (MRQ),5.272200000000001
EPS Growth (TTM),-0.7752
Revenue Growth (MRQ),0.1005
Revenue Growth (TTM),0.19
Return On Equity (TTM),0.0398
Return On Assets (TTM),0.020499999999999997
Return On Investment (TTM),0.0226
Revenue Per Employee (TTM),10521470.0
Total Debt/Total Capital (MRQ),0.4499
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.04
newConstructs,4
researchTeam,hold
cfra,3
theStreet,hold
ford,3
creditSuisse,
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-14 00:00:00
cfra since,2020-05-07 00:00:00
theStreet since,2020-02-28 00:00:00
ford since,2020-02-14 00:00:00
creditSuisse since,
marketEdge since,
