,BA
% Above Low,0.4993
% Held by Institutions,0.6456999999999999
52-Wk Range,['89.00 - 391.00']
Annual Dividend $,
Annual Dividend %,
Ask,133.23
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,133.04
Bid Size,300.0
Change Since Close,-0.21| |(-0.16%)
Closing Price,133.44
Day Change $,4.79
Day Change %,0.037200000000000004
Day High,135.55
Day Low,131.56
Dividend Pay Date,03/06/20
"EPS (TTM, GAAP)",-6.05
Ex-dividend Date,02/13/20
Historical Volatility,0.7390000000000001
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,133.23
Market Cap,75.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,128.65
Short Interest,0.0259
Today's Open,132.57
Volume,22733867.0
Volume 10-day Avg,35117491.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7061855670103092
Growth 2yr High Est,9.113333333333333
Growth 2yr Consensus Est,4.203573883161512
Growth 5yr Low Est,-0.7061855670103092
Growth 5yr High Est,9.113333333333333
Growth 5yr Consensus Est,4.203573883161512
Growth 5yr Actual/Est,-0.9825941131083475
Growth 3yr Historic,-0.22957012370107283
Price/Earnings (TTM),
Price/Sales (TTM),0.92122
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,89.0
5yr High,446.01
5yr Avg Return,0.08468333333333336
EPS Growth 5yr,
Revenue Growth 5yr,-0.0134552
Dividend Growth 5yr,
Short Int Current Month,14612267.0
Short Int Prev Month,11983234.0
Short Int Pct of Float,0.0259384
Days to Cover,0.3962
Float,563.5836
Shares Outstanding,564.3253
Institutions Holding Shares,2350.0
FCF Growth 5yr,-0.11010417921781976
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.109
Operating Profit Margin (TTM),-0.07200000000000001
Net Profit Margin (TTM),-0.0435
Annual Dividend Yield,
Dividend Change %,0.2018
"Dividend Growth Rate, 3 Years",0.2354
EPS Growth (MRQ),0.3768
EPS Growth (TTM),-1.3461
Revenue Growth (MRQ),-0.1776
Revenue Growth (TTM),-0.21710000000000002
Return On Equity (TTM),
Return On Assets (TTM),-0.026000000000000002
Return On Investment (TTM),-0.0808
Revenue Per Employee (TTM),489193.0
Total Debt/Total Capital (MRQ),1.3166
Change in Debt/Total Capital Quarter over Quarter,0.0122
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),-0.1
newConstructs,4
researchTeam,reduce
cfra,3
theStreet,sell
ford,3
creditSuisse,neutral
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-04 00:00:00
cfra since,2020-01-23 00:00:00
theStreet since,2020-04-30 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2019-10-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
