,BA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.74,Valuation,
Price/Sales (TTM),0.92,11.03,Valuation,0.08340888485947417
Price/Book (MRQ),,8.48,Valuation,
"PEG Ratio (TTM, GAAP)",,0.59,Valuation,
Gross Profit Margin (TTM),0.109,0.21910000000000002,Profitability,0.4974897307165677
Operating Profit Margin (TTM),-0.07200000000000001,-0.37939999999999996,Profitability,0.18977332630469165
Net Profit Margin (TTM),-0.0435,-0.4044,Profitability,0.10756676557863501
Annual Dividend Yield,,0.018000000000000002,Dividend,
Dividend Change %,0.2018,0.07490000000000001,Dividend,2.6942590120160212
"Dividend Growth Rate, 3 Years",0.2354,0.094,Dividend,2.5042553191489363
EPS Growth (MRQ),0.3768,-4.399,Gowth rates,-0.08565583087065243
EPS Growth (TTM),-1.3461,-0.4537,Gowth rates,2.9669385056204542
Revenue Growth (MRQ),-0.1776,0.1533,Gowth rates,-1.158512720156556
Revenue Growth (TTM),-0.21710000000000002,0.1242,Gowth rates,-1.747987117552335
Return On Equity (TTM),,0.5518,Effectiveness,
Return On Assets (TTM),-0.026000000000000002,0.053,Effectiveness,-0.4905660377358491
Return On Investment (TTM),-0.0808,0.0675,Effectiveness,-1.197037037037037
Revenue Per Employee (TTM),489193.0,377657.0,Effectiveness,1.2953367738450499
Total Debt/Total Capital (MRQ),1.3166,0.6849,Financial strength,1.9223244269236386
Change in Debt/Total Capital Quarter over Quarter,0.0122,0.001,Financial strength,12.200000000000001
Quick Ratio (MRQ),0.33,1.14,Financial strength,0.2894736842105263
Interest Coverage (MRQ),-0.1,8.74,Financial strength,-0.011441647597254004
