,EXC
% Above Low,0.2783
% Held by Institutions,0.7909
52-Wk Range,['29.28 - 51.18']
Annual Dividend $,1.53
Annual Dividend %,0.0437
Ask,37.38
Ask Size,6700.0
B/A Ratio,0.014925373134328358
B/A Size,100x6700
Beta,0.5
Bid,37.04
Bid Size,100.0
Closing Price,37.43
Day Change $,2.39
Day Change %,0.0682
Day High,37.48
Day Low,35.18
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.455
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,36.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.63
Prev Close,35.04
Short Interest,0.0105
Today's Open,35.29
Volume,8152826.0
Volume 10-day Avg,5544296.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,18.0
Growth 1yr Low Est,-0.08970099667774067
Growth 1yr High Est,0.0031645569620253333
Growth 1yr Consensus Est,-0.04326821985785767
Growth 2yr Low Est,-0.055799403448359375
Growth 2yr High Est,-0.009458730982709718
Growth 2yr Consensus Est,-0.032629067215534546
Growth 5yr Low Est,0.01143763718212476
Growth 5yr High Est,0.03828990770033211
Growth 5yr Consensus Est,0.024863772441228435
Growth 5yr Actual/Est,0.0375556487664678
Growth 3yr Historic,0.05801282051282053
Price/Earnings (TTM),11.63026
Price/Sales (TTM),0.99098
Price/Book (MRQ),1.05803
Price/Cash Flow (TTM),4.01488
5yr Low,25.09
5yr High,51.18
5yr Avg Return,0.03218333333333334
EPS Growth 5yr,0.0992044
Revenue Growth 5yr,0.0465635
Dividend Growth 5yr,0.031785100000000004
Short Int Current Month,10202571.0
Short Int Prev Month,10028367.0
Short Int Pct of Float,0.010504
Days to Cover,1.81495
Float,971.4203
Shares Outstanding,973.9299
Institutions Holding Shares,1265.0
FCF Growth 5yr,-0.4053342888995065
"Price/Earnings (TTM, GAAP)",11.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3442
Operating Profit Margin (TTM),0.127
Net Profit Margin (TTM),0.0932
Annual Dividend Yield,0.0437
Dividend Change %,0.0507
"Dividend Growth Rate, 3 Years",0.0468
EPS Growth (MRQ),-0.0031
EPS Growth (TTM),0.4569
Revenue Growth (MRQ),-0.06570000000000001
Revenue Growth (TTM),-0.0429
Return On Equity (TTM),0.0932
Return On Assets (TTM),0.0263
Return On Investment (TTM),0.03
Revenue Per Employee (TTM),1052701.0
Total Debt/Total Capital (MRQ),0.5223
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),2.46
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
theStreet,hold
cfra,5
ford,2
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
creditSuisse since,2017-01-24 00:00:00
theStreet since,2020-04-06 00:00:00
cfra since,2017-05-03 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
