,APTV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.2,22.67,Valuation,0.31760035288928096
Price/Sales (TTM),1.19,2.96,Valuation,0.40202702702702703
Price/Book (MRQ),3.34,2.45,Valuation,1.363265306122449
"PEG Ratio (TTM, GAAP)",1.35,1.96,Valuation,0.6887755102040817
Gross Profit Margin (TTM),0.1811,0.1529,Profitability,1.184434270765206
Operating Profit Margin (TTM),0.18510000000000001,-0.1118,Profitability,-1.655635062611807
Net Profit Margin (TTM),0.1654,-0.2659,Profitability,-0.6220383602858216
Annual Dividend Yield,,0.0058,Dividend,
Dividend Change %,0.0,-0.0040999999999999995,Dividend,-0.0
"Dividend Growth Rate, 3 Years",-0.08800000000000001,0.055400000000000005,Dividend,-1.5884476534296028
EPS Growth (MRQ),5.8821,1.9075,Gowth rates,3.0836697247706426
EPS Growth (TTM),1.3197,0.1159,Gowth rates,11.386540120793788
Revenue Growth (MRQ),-0.10289999999999999,-0.0727,Gowth rates,1.4154057771664372
Revenue Growth (TTM),-0.0259,-0.0223,Gowth rates,1.1614349775784754
Return On Equity (TTM),0.5536,0.23149999999999998,Effectiveness,2.3913606911447087
Return On Assets (TTM),0.15880000000000002,0.08449999999999999,Effectiveness,1.879289940828403
Return On Investment (TTM),0.2194,0.1217,Effectiveness,1.8027937551355793
Revenue Per Employee (TTM),99348.0,212643.0,Effectiveness,0.4672055981151507
Total Debt/Total Capital (MRQ),0.5471,0.4115,Financial strength,1.3295261239368166
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0017000000000000001,Financial strength,0.5882352941176471
Quick Ratio (MRQ),1.32,1.42,Financial strength,0.9295774647887325
Interest Coverage (MRQ),4.98,8.71,Financial strength,0.5717566016073479
