,APTV
% Below High,0.3119
% Held by Institutions,0.9804999999999999
52-Wk Range,['29.22 - 99.04']
Annual Dividend $,
Annual Dividend %,
Ask,79.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,67.26
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,68.15
Day Change $,2.92
Day Change %,0.044800000000000006
Day High,68.68
Day Low,66.44
Dividend Pay Date,02/19/20
"EPS (TTM, GAAP)",9.06
Ex-dividend Date,02/04/20
Historical Volatility,0.703
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,17.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.2
Prev Close,65.23
Short Interest,0.0199
Today's Open,67.13
Volume,1114237.0
Volume 10-day Avg,1711037.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.9892008639308856
Growth 1yr High Est,0.06991525423728806
Growth 1yr Consensus Est,-0.45964280484679876
Growth 2yr Low Est,28.405399568034557
Growth 2yr High Est,0.12901703305923806
Growth 2yr Consensus Est,14.267208300546898
Growth 5yr Low Est,14.21074845658365
Growth 5yr High Est,-0.008405484363105287
Growth 5yr Consensus Est,7.101171486110272
Growth 5yr Actual/Est,0.15983150039755462
Growth 3yr Historic,0.011542054543070668
Price/Earnings (TTM),7.19661
Price/Sales (TTM),1.18686
Price/Book (MRQ),3.34422
Price/Cash Flow (TTM),5.47073
5yr Low,29.22
5yr High,104.99
5yr Avg Return,0.010566666666666674
EPS Growth 5yr,-0.0236841
Revenue Growth 5yr,-0.015191
Dividend Growth 5yr,
Short Int Current Month,5043355.0
Short Int Prev Month,3796859.0
Short Int Pct of Float,0.0198654
Days to Cover,2.08233
Float,253.6112
Shares Outstanding,254.8759
Institutions Holding Shares,881.0
FCF Growth 5yr,-0.047344399161164216
"Price/Earnings (TTM, GAAP)",7.2
"PEG Ratio (TTM, GAAP)",1.35
Gross Profit Margin (TTM),0.1811
Operating Profit Margin (TTM),0.18510000000000001
Net Profit Margin (TTM),0.1654
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.08800000000000001
EPS Growth (MRQ),5.8821
EPS Growth (TTM),1.3197
Revenue Growth (MRQ),-0.10289999999999999
Revenue Growth (TTM),-0.0259
Return On Equity (TTM),0.5536
Return On Assets (TTM),0.15880000000000002
Return On Investment (TTM),0.2194
Revenue Per Employee (TTM),99348.0
Total Debt/Total Capital (MRQ),0.5471
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),4.98
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,sell
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,2
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-07 00:00:00
cfra since,2019-08-01 00:00:00
theStreet since,2020-05-07 00:00:00
creditSuisse since,2019-06-26 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
ford since,2020-04-09 00:00:00
