,Industry,Type,UNH,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.3,Valuation,20.09,0.8622317596566523
Price/Sales (TTM),10.47,Valuation,1.11,0.10601719197707736
Price/Book (MRQ),6.04,Valuation,4.77,0.7897350993377482
"PEG Ratio (TTM, GAAP)",2724.83,Valuation,1.57,0.0005761827343357201
Gross Profit Margin (TTM),0.1489,Profitability,,
Operating Profit Margin (TTM),0.028900000000000002,Profitability,0.0806,2.7889273356401385
Net Profit Margin (TTM),0.0072,Profitability,0.05740000000000001,7.972222222222223
Annual Dividend Yield,0.011899999999999999,Dividend,0.0151,1.2689075630252102
Dividend Change %,0.10060000000000001,Dividend,0.2,1.9880715705765406
"Dividend Growth Rate, 3 Years",0.1032,Dividend,0.20350000000000001,1.9718992248062017
EPS Growth (MRQ),0.6215,Gowth rates,-0.043899999999999995,-0.07063555913113434
EPS Growth (TTM),0.0001,Gowth rates,0.1092,1092.0
Revenue Growth (MRQ),0.1139,Gowth rates,0.057800000000000004,0.5074626865671642
Revenue Growth (TTM),0.21420000000000003,Gowth rates,0.0644,0.30065359477124176
Return On Equity (TTM),0.1608,Effectiveness,0.2531,1.574004975124378
Return On Assets (TTM),0.0506,Effectiveness,0.0808,1.5968379446640315
Return On Investment (TTM),0.0166,Effectiveness,,
Revenue Per Employee (TTM),1193781.0,Effectiveness,757748.0,0.6347462390505462
Total Debt/Total Capital (MRQ),0.4833,Financial strength,0.4559,0.9433064349265468
Change in Debt/Total Capital Quarter over Quarter,0.001,Financial strength,0.0015,1.5
Quick Ratio (MRQ),0.37,Financial strength,,
Interest Coverage (MRQ),10.4,Financial strength,11.43,1.0990384615384614
