,UNH
% Below High,0.0643
% Held by Institutions,0.8785
52-Wk Range,['187.72 - 306.72']
Annual Dividend $,4.32
Annual Dividend %,0.0152
Ask,288.5
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.7
Bid,287.01
Bid Size,400.0
Closing Price,287.0
Day Change $,2.0
Day Change %,0.006999999999999999
Day High,290.0
Day Low,285.66
Dividend Pay Date,2020-03-24 00:00:00
"EPS (TTM, GAAP)",14.28
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.469
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,272.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.09
Prev Close,285.0
Short Interest,0.0074
Today's Open,289.49
Volume,3200304.0
Volume 10-day Avg,3689872.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.04018754186202278
Growth 1yr High Est,0.09867549668874176
Growth 1yr Consensus Est,0.02924397741335949
Growth 2yr Low Est,0.07411418440743944
Growth 2yr High Est,0.13704118414907251
Growth 2yr Consensus Est,0.10557768427825598
Growth 5yr Low Est,0.15015394903690527
Growth 5yr High Est,0.18157290361158723
Growth 5yr Consensus Est,0.16586342632424625
Growth 5yr Actual/Est,0.1656185018543434
Growth 3yr Historic,0.113045829812431
Price/Earnings (TTM),20.09444
Price/Sales (TTM),1.10524
Price/Book (MRQ),4.77015
Price/Cash Flow (TTM),16.05716
5yr Low,95.0
5yr High,306.72
5yr Avg Return,0.17633333333333334
EPS Growth 5yr,0.2024559
Revenue Growth 5yr,0.13165459999999998
Dividend Growth 5yr,0.2412658
Short Int Current Month,6963685.0
Short Int Prev Month,7025121.0
Short Int Pct of Float,0.0073961
Days to Cover,1.57386
Float,941.5139
Shares Outstanding,948.3795
Institutions Holding Shares,2733.0
FCF Growth 5yr,0.15987885400762364
"Price/Earnings (TTM, GAAP)",20.09
"PEG Ratio (TTM, GAAP)",1.57
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0806
Net Profit Margin (TTM),0.05740000000000001
Annual Dividend Yield,0.0151
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.20350000000000001
EPS Growth (MRQ),-0.043899999999999995
EPS Growth (TTM),0.1092
Revenue Growth (MRQ),0.057800000000000004
Revenue Growth (TTM),0.0644
Return On Equity (TTM),0.2531
Return On Assets (TTM),0.0808
Return On Investment (TTM),
Revenue Per Employee (TTM),757748.0
Total Debt/Total Capital (MRQ),0.4559
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.43
newConstructs,3
researchTeam,hold
creditSuisse,outperform
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,-1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2017-11-02 00:00:00
theStreet since,2010-01-05 00:00:00
cfra since,2020-04-16 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
