,AEE
% Above Low,0.20629999999999998
% Held by Institutions,0.7258
52-Wk Range,['58.74 - 87.66']
Annual Dividend $,1.98
Annual Dividend %,0.028399999999999998
Ask,71.1
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.3
Bid,70.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,70.86
Day Change $,1.21
Day Change %,0.0174
Day High,71.01
Day Low,69.91
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",3.35
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.40700000000000003
Last (size),350.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,17.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.79
Prev Close,69.65
Short Interest,0.0516
Today's Open,70.41
Volume,1219469.0
Volume 10-day Avg,1578511.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.006153846153846176
Growth 1yr High Est,0.04477611940298498
Growth 1yr Consensus Est,0.02546498277841558
Growth 2yr Low Est,0.06270995059985884
Growth 2yr High Est,0.07381663113006387
Growth 2yr Consensus Est,0.06826329086496136
Growth 5yr Low Est,0.07756709651205063
Growth 5yr High Est,0.08318451929906404
Growth 5yr Consensus Est,0.08037580790555733
Growth 5yr Actual/Est,0.0761917325507277
Growth 3yr Historic,0.04621950068679159
Price/Earnings (TTM),20.79148
Price/Sales (TTM),2.90783
Price/Book (MRQ),2.12779
Price/Cash Flow (TTM),9.34489
5yr Low,37.26
5yr High,87.66
5yr Avg Return,0.10305000000000002
EPS Growth 5yr,0.0688682
Revenue Growth 5yr,-0.0047702
Dividend Growth 5yr,0.0358457
Short Int Current Month,12652855.0
Short Int Prev Month,12784781.0
Short Int Pct of Float,0.05158890000000001
Days to Cover,8.2609
Float,245.6797
Shares Outstanding,246.7372
Institutions Holding Shares,818.0
FCF Growth 5yr,1.0150118698505797
"Price/Earnings (TTM, GAAP)",20.79
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.46409999999999996
Operating Profit Margin (TTM),0.2144
Net Profit Margin (TTM),0.1411
Annual Dividend Yield,0.028399999999999998
Dividend Change %,0.0392
"Dividend Growth Rate, 3 Years",0.0384
EPS Growth (MRQ),-0.7417
EPS Growth (TTM),0.009300000000000001
Revenue Growth (MRQ),-0.2068
Revenue Growth (TTM),-0.060599999999999994
Return On Equity (TTM),0.10550000000000001
Return On Assets (TTM),0.029700000000000004
Return On Investment (TTM),0.0329
Revenue Per Employee (TTM),633916.0
Total Debt/Total Capital (MRQ),0.5443
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.37
Interest Coverage (MRQ),2.16
newConstructs,4
researchTeam,reduce
theStreet,hold
cfra,3
ford,2
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-04-06 00:00:00
cfra since,2019-11-09 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
