,HD
% Below High,0.052300000000000006
% Held by Institutions,0.6887000000000001
52-Wk Range,['140.63 - 247.36']
Annual Dividend $,6.0
Annual Dividend %,0.026099999999999998
Ask,235.34
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,234.47
Bid Size,500.0
Closing Price,234.43
Day Change $,4.98
Day Change %,0.0217
Day High,235.55
Day Low,231.15
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",10.25
Ex-dividend,2020-03-11 00:00:00
Ex-dividend Date,03/11/20
Historical Volatility,0.436
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,251.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.39
Prev Close,229.45
Short Interest,0.0096
Today's Open,232.7
Volume,4367213.0
Volume 10-day Avg,4530809.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.15054835493519436
Growth 1yr High Est,0.045142296368989365
Growth 1yr Consensus Est,-0.0527030292831025
Growth 2yr Low Est,0.00043004788451556086
Growth 2yr High Est,0.07609227494505799
Growth 2yr Consensus Est,0.038261161414786776
Growth 5yr Low Est,0.09624025025435332
Growth 5yr High Est,0.12412697389810146
Growth 5yr Consensus Est,0.11018361207622739
Growth 5yr Actual/Est,0.10703198830634006
Growth 3yr Historic,0.09053441746612201
Price/Earnings (TTM),22.38718
Price/Sales (TTM),2.23594
Price/Book (MRQ),
Price/Cash Flow (TTM),18.20475
5yr Low,92.17
5yr High,247.36
5yr Avg Return,0.14531666666666668
EPS Growth 5yr,0.16801929999999998
Revenue Growth 5yr,0.0579287
Dividend Growth 5yr,0.2367679
Short Int Current Month,10336238.0
Short Int Prev Month,9679493.0
Short Int Pct of Float,0.009636
Days to Cover,1.76097
Float,1072.842
Shares Outstanding,1074.116
Institutions Holding Shares,3148.0
FCF Growth 5yr,0.09166848964029028
"Price/Earnings (TTM, GAAP)",22.39
"PEG Ratio (TTM, GAAP)",3.09
Gross Profit Margin (TTM),0.34090000000000004
Operating Profit Margin (TTM),0.1437
Net Profit Margin (TTM),0.102
Annual Dividend Yield,0.026099999999999998
Dividend Change %,0.3204
"Dividend Growth Rate, 3 Years",0.25379999999999997
EPS Growth (MRQ),-0.09910000000000001
EPS Growth (TTM),0.061500000000000006
Revenue Growth (MRQ),-0.0529
Revenue Growth (TTM),0.0187
Return On Equity (TTM),
Return On Assets (TTM),0.2361
Return On Investment (TTM),0.3738
Revenue Per Employee (TTM),265155.0
Total Debt/Total Capital (MRQ),1.1098999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.29
Interest Coverage (MRQ),11.65
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2010-05-19 00:00:00
cfra since,2020-03-12 00:00:00
ford since,2018-12-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-12 00:00:00
