,NEE
% Below High,0.1892
% Held by Institutions,0.7659999999999999
52-Wk Range,['174.80 - 283.35']
Annual Dividend $,5.6
Annual Dividend %,0.024900000000000002
Ask,235.7
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.2
Bid,229.5
Bid Size,300.0
Closing Price,229.73
Day Change $,5.25
Day Change %,0.023399999999999997
Day High,230.63
Day Low,225.74
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.385
Last (size),13.0
Last (time),6:30p ET 05/08/20
Market Cap,112.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",30.58
Prev Close,224.48
Short Interest,0.0123
Today's Open,227.39
Volume,2827593.0
Volume 10-day Avg,2419532.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.08150851581508523
Growth 1yr High Est,0.08333333333333348
Growth 1yr Consensus Est,0.08242092457420935
Growth 2yr Low Est,0.08631106330686766
Growth 2yr High Est,0.08608703503069703
Growth 2yr Consensus Est,0.08619904916878235
Growth 5yr Low Est,0.09951233274707705
Growth 5yr High Est,0.09876982103025767
Growth 5yr Consensus Est,0.09914107688866736
Growth 5yr Actual/Est,0.10174914107570704
Growth 3yr Historic,0.05906667958906764
Price/Earnings (TTM),30.58273
Price/Sales (TTM),5.5651
Price/Book (MRQ),3.01543
Price/Cash Flow (TTM),14.28204
5yr Low,93.74
5yr High,283.35
5yr Avg Return,0.15991666666666665
EPS Growth 5yr,0.072461
Revenue Growth 5yr,0.0244277
Dividend Growth 5yr,0.1151015
Short Int Current Month,6021332.0
Short Int Prev Month,6386525.0
Short Int Pct of Float,0.0123308
Days to Cover,2.08046
Float,488.5523
Shares Outstanding,489.45
Institutions Holding Shares,2221.0
FCF Growth 5yr,0.36948441364136586
"Price/Earnings (TTM, GAAP)",31.3
"PEG Ratio (TTM, GAAP)",3.91
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3139
Net Profit Margin (TTM),0.1598
Annual Dividend Yield,0.0244
Dividend Change %,0.1261
"Dividend Growth Rate, 3 Years",0.12840000000000001
EPS Growth (MRQ),-0.5779
EPS Growth (TTM),0.2
Revenue Growth (MRQ),0.0054
Revenue Growth (TTM),0.16620000000000001
Return On Equity (TTM),0.1012
Return On Assets (TTM),0.0275
Return On Investment (TTM),0.0333
Revenue Per Employee (TTM),2218315.0
Total Debt/Total Capital (MRQ),0.5345000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),0.86
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
theStreet,buy
cfra,3
ford,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2010-08-16 00:00:00
cfra since,2019-10-09 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2020-01-17 00:00:00
