,PFG
% Above Low,0.6392
% Held by Institutions,0.7363
52-Wk Range,['23.31 - 60.81']
Annual Dividend $,2.24
Annual Dividend %,0.0617
Ask,38.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,37.5
Bid Size,100.0
Closing Price,38.21
Day Change $,1.92
Day Change %,0.0529
Day High,38.31
Day Low,36.58
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",4.47
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.561
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.54
Prev Close,36.29
Short Interest,0.0113
Today's Open,37.24
Volume,1830309.0
Volume 10-day Avg,2517775.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.16666666666666663
Growth 1yr High Est,-0.04247787610619469
Growth 1yr Consensus Est,-0.10457227138643066
Growth 2yr Low Est,-0.0007246376811593236
Growth 2yr High Est,0.06563721721492483
Growth 2yr Consensus Est,0.03245628976688275
Growth 5yr Low Est,0.016568866453437497
Growth 5yr High Est,0.052313425155510934
Growth 5yr Consensus Est,0.034441145804474216
Growth 5yr Actual/Est,0.03465066752859028
Growth 3yr Historic,0.02656595338557366
Price/Earnings (TTM),8.53864
Price/Sales (TTM),0.61317
Price/Book (MRQ),0.80934
Price/Cash Flow (TTM),8.96086
5yr Low,23.31
5yr High,75.59
5yr Avg Return,-0.005783333333333337
EPS Growth 5yr,0.059302799999999996
Revenue Growth 5yr,0.09032870000000001
Dividend Growth 5yr,0.1123701
Short Int Current Month,3082912.0
Short Int Prev Month,3564362.0
Short Int Pct of Float,0.011317200000000001
Days to Cover,1.46377
Float,272.9757
Shares Outstanding,273.8678
Institutions Holding Shares,799.0
FCF Growth 5yr,0.055402102137663056
"Price/Earnings (TTM, GAAP)",8.54
"PEG Ratio (TTM, GAAP)",1.42
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0877
Net Profit Margin (TTM),0.0748
Annual Dividend Yield,0.058600000000000006
Dividend Change %,0.0381
"Dividend Growth Rate, 3 Years",0.1063
EPS Growth (MRQ),-0.0298
EPS Growth (TTM),-0.18989999999999999
Revenue Growth (MRQ),0.1223
Revenue Growth (TTM),0.1285
Return On Equity (TTM),0.09789999999999999
Return On Assets (TTM),0.005
Return On Investment (TTM),
Revenue Per Employee (TTM),969615.0
Total Debt/Total Capital (MRQ),0.2223
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,hold
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2017-05-03 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2018-04-24 00:00:00
