,HCA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.67,22.76,Valuation,0.5127416520210896
Price/Sales (TTM),0.67,10.65,Valuation,0.06291079812206572
Price/Book (MRQ),,6.03,Valuation,
"PEG Ratio (TTM, GAAP)",1.46,62.83,Valuation,0.023237307018939998
Gross Profit Margin (TTM),0.8343,0.1463,Profitability,5.702665755297334
Operating Profit Margin (TTM),0.1223,0.028300000000000002,Profitability,4.321554770318021
Net Profit Margin (TTM),0.0709,0.0068000000000000005,Profitability,10.426470588235293
Annual Dividend Yield,,0.0122,Dividend,
Dividend Change %,0.1429,0.10099999999999999,Dividend,1.414851485148515
"Dividend Growth Rate, 3 Years",,0.10400000000000001,Dividend,
EPS Growth (MRQ),-0.45280000000000004,0.608,Gowth rates,-0.7447368421052633
EPS Growth (TTM),-0.047599999999999996,0.0036,Gowth rates,-13.222222222222221
Revenue Growth (MRQ),-0.049,0.1227,Gowth rates,-0.3993480032599837
Revenue Growth (TTM),0.0818,0.21739999999999998,Gowth rates,0.37626494940202393
Return On Equity (TTM),,0.1627,Effectiveness,
Return On Assets (TTM),0.0825,0.050800000000000005,Effectiveness,1.624015748031496
Return On Investment (TTM),0.1095,0.016200000000000003,Effectiveness,6.759259259259258
Revenue Per Employee (TTM),246095.0,1202685.0,Effectiveness,0.20462132644873762
Total Debt/Total Capital (MRQ),1.0206,0.4826,Financial strength,2.1147948611686695
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0022,Financial strength,-0.18181818181818182
Quick Ratio (MRQ),1.29,0.37,Financial strength,3.4864864864864864
Interest Coverage (MRQ),3.61,10.31,Financial strength,0.35014548981571286
