,HCA
% Below High,0.2899
% Held by Institutions,0.7121999999999999
52-Wk Range,['58.38 - 151.97']
Annual Dividend $,
Annual Dividend %,
Ask,108.43
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.3
Bid,106.0
Bid Size,100.0
Closing Price,107.92
Day Change $,5.38
Day Change %,0.0525
Day High,108.12
Day Low,104.08
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",8.79
Ex-dividend Date,02/28/20
Historical Volatility,0.544
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,36.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.67
Prev Close,102.54
Short Interest,0.0195
Today's Open,104.5
Volume,1694612.0
Volume 10-day Avg,2251449.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.9242718446601942
Growth 1yr High Est,0.07511737089201875
Growth 1yr Consensus Est,-0.4245772368840877
Growth 2yr Low Est,4.467351257157083
Growth 2yr High Est,0.1524058470180618
Growth 2yr Consensus Est,2.3098785520875724
Growth 5yr Low Est,2.370409148361521
Growth 5yr High Est,0.21344833133238678
Growth 5yr Consensus Est,1.2919287398469539
Growth 5yr Actual/Est,0.19669640568924984
Growth 3yr Historic,0.1262931015104355
Price/Earnings (TTM),11.66907
Price/Sales (TTM),0.66988
Price/Book (MRQ),
Price/Cash Flow (TTM),5.48383
5yr Low,43.91
5yr High,151.97
5yr Avg Return,0.08910000000000001
EPS Growth 5yr,0.1930963
Revenue Growth 5yr,0.0681611
Dividend Growth 5yr,
Short Int Current Month,5153546.0
Short Int Prev Month,4328060.0
Short Int Pct of Float,0.0194844
Days to Cover,1.70931
Float,264.9272
Shares Outstanding,337.6189
Institutions Holding Shares,1028.0
FCF Growth 5yr,0.09246641867993766
"Price/Earnings (TTM, GAAP)",11.67
"PEG Ratio (TTM, GAAP)",1.46
Gross Profit Margin (TTM),0.8343
Operating Profit Margin (TTM),0.1223
Net Profit Margin (TTM),0.0709
Annual Dividend Yield,
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.45280000000000004
EPS Growth (TTM),-0.047599999999999996
Revenue Growth (MRQ),-0.049
Revenue Growth (TTM),0.0818
Return On Equity (TTM),
Return On Assets (TTM),0.0825
Return On Investment (TTM),0.1095
Revenue Per Employee (TTM),246095.0
Total Debt/Total Capital (MRQ),1.0206
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),3.61
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-31 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-11-02 00:00:00
