,VTR
% Above Low,1.2555
% Held by Institutions,0.8941
52-Wk Range,['13.35 - 75.40']
Annual Dividend $,3.17
Annual Dividend %,0.11710000000000001
Ask,30.4
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,30.0
Bid Size,200.0
Closing Price,30.1
Day Change $,3.02
Day Change %,0.1115
Day High,30.32
Day Low,26.68
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",1.11
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.7809999999999999
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,11.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",38.56
Prev Close,27.08
Short Interest,0.0189
Today's Open,28.0
Volume,5577930.0
Volume 10-day Avg,3771308.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.55
Growth 2yr High Est,0.13888888888888884
Growth 2yr Consensus Est,-0.2055555555555556
Growth 5yr Low Est,-0.55
Growth 5yr High Est,0.13888888888888884
Growth 5yr Consensus Est,-0.2055555555555556
Growth 5yr Actual/Est,-0.19812456168291398
Growth 3yr Historic,-0.16802422723475352
Price/Earnings (TTM),38.56058
Price/Sales (TTM),3.83266
Price/Book (MRQ),
Price/Cash Flow (TTM),10.20065
5yr Low,13.35
5yr High,76.8
5yr Avg Return,-0.10175
EPS Growth 5yr,-0.0183225
Revenue Growth 5yr,0.0687954
Dividend Growth 5yr,0.0179636
Short Int Current Month,7036358.0
Short Int Prev Month,6507518.0
Short Int Pct of Float,0.0189373
Days to Cover,1.60235
Float,371.5456
Shares Outstanding,373.0638
Institutions Holding Shares,972.0
FCF Growth 5yr,-0.05582367428582484
"Price/Earnings (TTM, GAAP)",38.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5325
Operating Profit Margin (TTM),0.2049
Net Profit Margin (TTM),0.1067
Annual Dividend Yield,0.10529999999999999
Dividend Change %,0.0032
"Dividend Growth Rate, 3 Years",0.0278
EPS Growth (MRQ),-0.882
EPS Growth (TTM),0.1768
Revenue Growth (MRQ),0.0131
Revenue Growth (TTM),0.0339
Return On Equity (TTM),0.0385
Return On Assets (TTM),0.0175
Return On Investment (TTM),0.018600000000000002
Revenue Per Employee (TTM),5678055.0
Total Debt/Total Capital (MRQ),0.5292
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.02
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-11-18 00:00:00
cfra since,2020-02-21 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
