,VTR
Price/Earnings (TTM),38.56058
Price/Sales (TTM),3.83266
Price/Book (MRQ),
Price/Cash Flow (TTM),10.20065
5yr Low,13.35
5yr High,76.8
5yr Avg Return,-0.10175
EPS Growth 5yr,-0.0183225
Revenue Growth 5yr,0.0687954
Dividend Growth 5yr,0.0179636
Short Int Current Month,7036358.0
Short Int Prev Month,6507518.0
Short Int Pct of Float,0.0189373
Days to Cover,1.60235
Float,371.5456
Shares Outstanding,373.0638
Institutions Holding Shares,972.0
% Held by Institutions,0.894126
FCF Growth 5yr,-0.05582367428582484
