,Industry,LKQ,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.15,13.21,Valuation,0.6245862884160758
Price/Sales (TTM),1007.75,0.62,Valuation,0.0006152319523691392
Price/Book (MRQ),32.2,1.54,Valuation,0.047826086956521734
"PEG Ratio (TTM, GAAP)",0.79,,Valuation,
Gross Profit Margin (TTM),0.3407,0.3915,Profitability,1.1491047842676843
Operating Profit Margin (TTM),-0.2823,0.0728,Profitability,-0.25788168614948637
Net Profit Margin (TTM),-0.3039,0.047,Profitability,-0.15465613688713392
Annual Dividend Yield,0.0181,,Dividend,
Dividend Change %,0.0835,,Dividend,
"Dividend Growth Rate, 3 Years",0.0796,,Dividend,
EPS Growth (MRQ),0.1371,0.043,Gowth rates,0.3136396790663749
EPS Growth (TTM),-0.269,0.4053,Gowth rates,-1.5066914498141262
Revenue Growth (MRQ),0.4058,-0.003,Gowth rates,-0.007392804337111878
Revenue Growth (TTM),0.034,0.0123,Gowth rates,0.36176470588235293
Return On Equity (TTM),0.3031,0.1207,Effectiveness,0.3982184097657539
Return On Assets (TTM),-0.0149,0.0466,Effectiveness,-3.12751677852349
Return On Investment (TTM),0.0753,0.0556,Effectiveness,0.7383798140770251
Revenue Per Employee (TTM),459403.0,243269.0,Effectiveness,0.5295328937773589
Total Debt/Total Capital (MRQ),0.485,0.4289,Financial strength,0.8843298969072165
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.0009,Financial strength,1.2857142857142856
Quick Ratio (MRQ),0.68,0.89,Financial strength,1.3088235294117647
Interest Coverage (MRQ),-32.32,9.59,Financial strength,-0.296720297029703
