,Industry,NTRS,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.36,11.34,Valuation,0.6532258064516129
Price/Sales (TTM),8.13,2.39,Valuation,0.29397293972939725
Price/Book (MRQ),80.33,1.58,Valuation,0.019668865928046807
"PEG Ratio (TTM, GAAP)",6.93,4.68,Valuation,0.6753246753246753
Gross Profit Margin (TTM),0.46159999999999995,0.9349,Profitability,2.0253466204506068
Operating Profit Margin (TTM),0.29710000000000003,0.29550000000000004,Profitability,0.994614607876136
Net Profit Margin (TTM),0.19890000000000002,0.2278,Profitability,1.1452991452991452
Annual Dividend Yield,0.027999999999999997,0.0368,Dividend,1.3142857142857145
Dividend Change %,0.1462,0.3536,Dividend,2.418604651162791
"Dividend Growth Rate, 3 Years",0.1512,0.1883,Dividend,1.2453703703703702
EPS Growth (MRQ),-0.2902,-0.08779999999999999,Gowth rates,0.30254996554100616
EPS Growth (TTM),0.025,0.039,Gowth rates,1.5599999999999998
Revenue Growth (MRQ),-0.18910000000000002,0.0087,Gowth rates,-0.04600740349021681
Revenue Growth (TTM),0.0143,0.015700000000000002,Gowth rates,1.0979020979020981
Return On Equity (TTM),4.7112,0.1449,Effectiveness,0.03075649516046867
Return On Assets (TTM),0.057800000000000004,0.0106,Effectiveness,0.1833910034602076
Return On Investment (TTM),0.11359999999999999,0.0815,Effectiveness,0.7174295774647889
Revenue Per Employee (TTM),838344.0,333843.0,Effectiveness,0.39821719962211216
Total Debt/Total Capital (MRQ),0.42210000000000003,0.9307,Financial strength,2.204927742241175
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0002,Financial strength,0.4
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),12.55,,Financial strength,
