,COP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.29,-35.51,Valuation,-0.37426077161363
Price/Sales (TTM),1.55,3.31,Valuation,0.46827794561933533
Price/Book (MRQ),1.45,2.33,Valuation,0.6223175965665235
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.45840000000000003,0.3982,Profitability,1.151180311401306
Operating Profit Margin (TTM),0.201,-0.0002,Profitability,-1005.0
Net Profit Margin (TTM),0.1258,-0.0029,Profitability,-43.37931034482759
Annual Dividend Yield,0.0396,0.0675,Dividend,0.5866666666666667
Dividend Change %,0.1509,0.1449,Dividend,1.041407867494824
"Dividend Growth Rate, 3 Years",0.1011,0.0891,Dividend,1.1346801346801347
EPS Growth (MRQ),-3.4492000000000003,-2.7653,Gowth rates,1.2473149387046616
EPS Growth (TTM),-0.483,-1.0931,Gowth rates,0.44186259262647515
Revenue Growth (MRQ),-0.1996,0.0496,Gowth rates,-4.024193548387097
Revenue Growth (TTM),-0.2046,-0.0147,Gowth rates,13.918367346938776
Return On Equity (TTM),0.1127,0.053899999999999997,Effectiveness,2.090909090909091
Return On Assets (TTM),0.0542,0.0173,Effectiveness,3.132947976878613
Return On Investment (TTM),0.0602,0.0278,Effectiveness,2.1654676258992804
Revenue Per Employee (TTM),2827500.0,3759409.0,Effectiveness,0.7521128985965613
Total Debt/Total Capital (MRQ),0.32299999999999995,0.37229999999999996,Financial strength,0.867579908675799
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0016,Financial strength,0.625
Quick Ratio (MRQ),2.04,0.78,Financial strength,2.6153846153846154
Interest Coverage (MRQ),0.39,3.59,Financial strength,0.10863509749303622
