,COP
% Above Low,1.0672
% Held by Institutions,0.7412000000000001
52-Wk Range,['20.84 - 67.13']
Annual Dividend $,1.68
Annual Dividend %,0.039599999999999996
Ask,43.33
Ask Size,5000.0
B/A Ratio,0.1
B/A Size,500x5000
Beta,1.7
Bid,43.11
Bid Size,500.0
Change Since Close,0.10| |(0.23%)
Closing Price,43.08
Day Change $,1.08
Day Change %,0.025699999999999997
Day High,43.35
Day Low,42.06
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.648
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,43.18
Market Cap,46.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.29
Prev Close,42.0
Short Interest,0.015
Today's Open,43.12
Volume,6975560.0
Volume 10-day Avg,9792248.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.9104046242774566
Growth 1yr High Est,-1.04
Growth 1yr Consensus Est,-1.4752023121387283
Growth 2yr Low Est,-1.1377419946784109
Growth 2yr High Est,-12.23875
Growth 2yr Consensus Est,-6.688245997339205
Growth 5yr Low Est,1.709276037685647
Growth 5yr High Est,-4.9232965686274515
Growth 5yr Consensus Est,-1.6070102654709018
Growth 5yr Actual/Est,0.9243738841478437
Growth 3yr Historic,1.5893538913362704
Price/Earnings (TTM),13.28502
Price/Sales (TTM),1.54704
Price/Book (MRQ),1.45273
Price/Cash Flow (TTM),4.71178
5yr Low,20.84
5yr High,80.24
5yr Avg Return,-0.046783333333333336
EPS Growth 5yr,0.0679682
Revenue Growth 5yr,-0.0914082
Dividend Growth 5yr,-0.1401304
Short Int Current Month,16169463.0
Short Int Prev Month,13726009.0
Short Int Pct of Float,0.0150305
Days to Cover,1.52238
Float,1067.598
Shares Outstanding,1072.425
Institutions Holding Shares,1908.0
FCF Growth 5yr,-1.1873338388247325
"Price/Earnings (TTM, GAAP)",13.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.45840000000000003
Operating Profit Margin (TTM),0.201
Net Profit Margin (TTM),0.1258
Annual Dividend Yield,0.0396
Dividend Change %,0.1509
"Dividend Growth Rate, 3 Years",0.1011
EPS Growth (MRQ),-3.4492000000000003
EPS Growth (TTM),-0.483
Revenue Growth (MRQ),-0.1996
Revenue Growth (TTM),-0.2046
Return On Equity (TTM),0.1127
Return On Assets (TTM),0.0542
Return On Investment (TTM),0.0602
Revenue Per Employee (TTM),2827500.0
Total Debt/Total Capital (MRQ),0.32299999999999995
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),2.04
Interest Coverage (MRQ),0.39
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2020-03-14 00:00:00
theStreet since,2020-03-13 00:00:00
ford since,2019-11-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-04-30 00:00:00
