,NKE
% Below High,0.1435
% Held by Institutions,0.8281999999999999
52-Wk Range,['60.00 - 105.62']
Annual Dividend $,0.98
Annual Dividend %,0.0111
Ask,90.95
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,90.53
Bid Size,1000.0
Closing Price,90.46
Day Change $,1.9
Day Change %,0.0215
Day High,90.64
Day Low,89.59
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.7
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.38
Last (size),22.0
Last (time),6:30p ET 05/08/20
Market Cap,140.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.77
Prev Close,88.56
Short Interest,0.0096
Today's Open,90.11
Volume,5489391.0
Volume 10-day Avg,6502125.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.34817813765182193
Growth 1yr High Est,-0.007462686567164201
Growth 1yr Consensus Est,-0.17782041210949306
Growth 2yr Low Est,-0.3324741619936128
Growth 2yr High Est,0.1541633935585231
Growth 2yr Consensus Est,-0.08915538421754485
Growth 5yr Low Est,-0.15360021284021416
Growth 5yr High Est,0.10013641667518805
Growth 5yr Consensus Est,-0.026731898082513056
Growth 5yr Actual/Est,0.028163378332758976
Growth 3yr Historic,-0.0014919401890346184
Price/Earnings (TTM),32.77039
Price/Sales (TTM),3.33658
Price/Book (MRQ),15.22507
Price/Cash Flow (TTM),27.35675
5yr Low,47.25
5yr High,105.62
5yr Avg Return,0.11988333333333336
EPS Growth 5yr,0.1086327
Revenue Growth 5yr,0.0706987
Dividend Growth 5yr,0.1329568
Short Int Current Month,11793655.0
Short Int Prev Month,11959061.0
Short Int Pct of Float,0.0096246
Days to Cover,1.50035
Float,1225.465
Shares Outstanding,1555.035
Institutions Holding Shares,2400.0
FCF Growth 5yr,0.09456897967470937
"Price/Earnings (TTM, GAAP)",33.47
"PEG Ratio (TTM, GAAP)",2.85
Gross Profit Margin (TTM),0.4487
Operating Profit Margin (TTM),0.1158
Net Profit Margin (TTM),0.10460000000000001
Annual Dividend Yield,0.0108
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),-0.239
EPS Growth (TTM),0.0736
Revenue Growth (MRQ),-0.0215
Revenue Growth (TTM),0.0659
Return On Equity (TTM),0.4796
Return On Assets (TTM),0.1757
Return On Investment (TTM),0.2572
Revenue Per Employee (TTM),538123.0
Total Debt/Total Capital (MRQ),0.2776
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),595.0
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,5
ford,4
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-06-29 00:00:00
cfra since,2020-01-09 00:00:00
ford since,2020-04-03 00:00:00
creditSuisse since,2018-06-14 00:00:00
