,Industry,ROK,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.07,31.72,Valuation,1.5054579971523492
Price/Sales (TTM),2.64,3.3,Valuation,1.2499999999999998
Price/Book (MRQ),8.09,35.9,Valuation,4.437577255871446
"PEG Ratio (TTM, GAAP)",1.44,10.24,Valuation,7.111111111111112
Gross Profit Margin (TTM),0.3588,0.42229999999999995,Profitability,1.176978818283166
Operating Profit Margin (TTM),0.0236,0.1301,Profitability,5.512711864406779
Net Profit Margin (TTM),-0.023700000000000002,0.1057,Profitability,-4.4599156118143455
Annual Dividend Yield,0.0222,0.0212,Dividend,0.954954954954955
Dividend Change %,0.0593,0.1054,Dividend,1.7774030354131534
"Dividend Growth Rate, 3 Years",0.0584,0.10189999999999999,Dividend,1.74486301369863
EPS Growth (MRQ),-0.15630000000000002,-0.5740999999999999,Gowth rates,3.673064619321816
EPS Growth (TTM),0.1468,-0.2696,Gowth rates,-1.8365122615803813
Revenue Growth (MRQ),-0.031000000000000003,-0.0019,Gowth rates,0.06129032258064516
Revenue Growth (TTM),0.0139,0.005,Gowth rates,0.3597122302158274
Return On Equity (TTM),0.1942,0.7273999999999999,Effectiveness,3.7456230690010295
Return On Assets (TTM),0.0733,0.1106,Effectiveness,1.5088676671214187
Return On Investment (TTM),0.0326,0.1594,Effectiveness,4.889570552147239
Revenue Per Employee (TTM),259735.0,293961.0,Effectiveness,1.1317727683985601
Total Debt/Total Capital (MRQ),0.4918,0.6863,Financial strength,1.3954859699064661
Change in Debt/Total Capital Quarter over Quarter,0.0005,-0.0014000000000000002,Financial strength,-2.8000000000000003
Quick Ratio (MRQ),1.33,1.21,Financial strength,0.9097744360902255
Interest Coverage (MRQ),5.79,1.98,Financial strength,0.34196891191709844
