,ROK
% Below High,0.0818
% Held by Institutions,0.767
52-Wk Range,['115.38 - 209.61']
Annual Dividend $,4.08
Annual Dividend %,0.021400000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,163.0
Bid Size,
Closing Price,192.45
Day Change $,1.43
Day Change %,0.0075
Day High,195.57
Day Low,191.9
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.07
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.5
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,22.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.72
Prev Close,191.02
Short Interest,0.0277
Today's Open,194.48
Volume,698383.0
Volume 10-day Avg,1071877.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.18816568047337268
Growth 1yr High Est,-0.11494252873563204
Growth 1yr Consensus Est,-0.15155410460450236
Growth 2yr Low Est,-0.12761053702968927
Growth 2yr High Est,0.02174951485296317
Growth 2yr Consensus Est,-0.05293051108836305
Growth 5yr Low Est,-0.0036990192242543074
Growth 5yr High Est,0.07501371390120448
Growth 5yr Consensus Est,0.03565734733847509
Growth 5yr Actual/Est,0.04091862254752285
Growth 3yr Historic,0.0671886742205911
Price/Earnings (TTM),31.72335
Price/Sales (TTM),3.29685
Price/Book (MRQ),35.89837
Price/Cash Flow (TTM),25.44848
5yr Low,87.53
5yr High,210.72
5yr Avg Return,0.11775000000000001
EPS Growth 5yr,-0.0028597
Revenue Growth 5yr,0.0021437
Dividend Growth 5yr,0.1083291
Short Int Current Month,3196093.0
Short Int Prev Month,2847245.0
Short Int Pct of Float,0.027705700000000003
Days to Cover,3.24492
Float,115.0713
Shares Outstanding,115.824
Institutions Holding Shares,1124.0
FCF Growth 5yr,0.012742284278942662
"Price/Earnings (TTM, GAAP)",31.72
"PEG Ratio (TTM, GAAP)",10.24
Gross Profit Margin (TTM),0.42229999999999995
Operating Profit Margin (TTM),0.1301
Net Profit Margin (TTM),0.1057
Annual Dividend Yield,0.0212
Dividend Change %,0.1054
"Dividend Growth Rate, 3 Years",0.10189999999999999
EPS Growth (MRQ),-0.5740999999999999
EPS Growth (TTM),-0.2696
Revenue Growth (MRQ),-0.0019
Revenue Growth (TTM),0.005
Return On Equity (TTM),0.7273999999999999
Return On Assets (TTM),0.1106
Return On Investment (TTM),0.1594
Revenue Per Employee (TTM),293961.0
Total Debt/Total Capital (MRQ),0.6863
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),1.98
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-01-30 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2018-11-16 00:00:00
creditSuisse since,2019-11-13 00:00:00
