,AKAM
Price/Earnings (TTM),33.45382
Price/Sales (TTM),5.53817
Price/Book (MRQ),4.43797
Price/Cash Flow (TTM),17.30689
5yr Low,39.43
5yr High,108.25
5yr Avg Return,0.08581666666666665
EPS Growth 5yr,0.09524060000000001
Revenue Growth 5yr,0.08060129999999999
Dividend Growth 5yr,
Short Int Current Month,5766188.0
Short Int Prev Month,5480376.0
Short Int Pct of Float,0.0363829
Days to Cover,3.11824
Float,158.9449
Shares Outstanding,162.4793
Institutions Holding Shares,962.0
% Held by Institutions,0.890056
FCF Growth 5yr,0.13509030235010883
