,AKAM
% Below High,0.06559999999999999
% Held by Institutions,0.8901
52-Wk Range,['73.19 - 108.25']
Annual Dividend $,
Annual Dividend %,
Ask,102.0
Ask Size,200.0
Ask close,101.16
B/A Ratio,2.5
B/A Size,500x200
Beta,0.3
Bid,99.14
Bid Size,500.0
Bid close,100.79
Change Since Close,-1.99| |(-1.97%)
Closing Price,101.15
Day Change $,0.55
Day Change %,0.0055000000000000005
Day High,101.81
Day Low,100.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.35000000000000003
Last (size),20.0
Last (time),4:15p ET 05/08/20
Last Trade,99.16
Market Cap,16.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.45
Prev Close,100.6
Short Interest,0.0364
Today's Open,101.52
Volume,1213293.0
Volume 10-day Avg,2929893.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.08027522935779818
Growth 1yr High Est,0.17194570135746612
Growth 1yr Consensus Est,0.12611046535763215
Growth 2yr Low Est,0.07623103293792244
Growth 2yr High Est,0.13616590087178326
Growth 2yr Consensus Est,0.10619846690485285
Growth 5yr Low Est,0.19394037038227935
Growth 5yr High Est,0.22281826888088746
Growth 5yr Consensus Est,0.2083793196315834
Growth 5yr Actual/Est,0.20129978111286562
Growth 3yr Historic,0.1555027202564211
Price/Earnings (TTM),33.45382
Price/Sales (TTM),5.53817
Price/Book (MRQ),4.43797
Price/Cash Flow (TTM),17.30689
5yr Low,39.43
5yr High,108.25
5yr Avg Return,0.08581666666666665
EPS Growth 5yr,0.09524060000000001
Revenue Growth 5yr,0.08060129999999999
Dividend Growth 5yr,
Short Int Current Month,5766188.0
Short Int Prev Month,5480376.0
Short Int Pct of Float,0.0363829
Days to Cover,3.11824
Float,158.9449
Shares Outstanding,162.4793
Institutions Holding Shares,962.0
FCF Growth 5yr,0.13509030235010883
"Price/Earnings (TTM, GAAP)",33.45
"PEG Ratio (TTM, GAAP)",2.97
Gross Profit Margin (TTM),0.6559
Operating Profit Margin (TTM),0.192
Net Profit Margin (TTM),0.168
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0355
EPS Growth (TTM),0.4112
Revenue Growth (MRQ),-0.0101
Revenue Growth (TTM),0.0724
Return On Equity (TTM),0.1421
Return On Assets (TTM),0.0817
Return On Investment (TTM),0.0907
Revenue Per Employee (TTM),382109.0
Total Debt/Total Capital (MRQ),0.3358
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),
Interest Coverage (MRQ),16.04
newConstructs,3
researchTeam,hold
cfra,3
theStreet,buy
ford,2
marketEdge opinion,long
marketEdge,-2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
cfra since,2018-03-09 00:00:00
theStreet since,2018-11-19 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-13 00:00:00
