,COO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.77,41.85,Valuation,0.8069295101553167
Price/Sales (TTM),6.07,9.88,Valuation,0.6143724696356275
Price/Book (MRQ),4.01,13.88,Valuation,0.28890489913544665
"PEG Ratio (TTM, GAAP)",,0.58,Valuation,
Gross Profit Margin (TTM),0.6606000000000001,0.6071,Profitability,1.0881238675671225
Operating Profit Margin (TTM),0.2047,-0.0415,Profitability,-4.932530120481927
Net Profit Margin (TTM),0.1678,-0.045,Profitability,-3.728888888888889
Annual Dividend Yield,0.0002,0.0079,Dividend,0.02531645569620253
Dividend Change %,0.0,0.0582,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.049,Dividend,0.0
EPS Growth (MRQ),-0.2097,8.9487,Gowth rates,-0.02343357135673338
EPS Growth (TTM),0.1858,0.7232,Gowth rates,0.2569137168141593
Revenue Growth (MRQ),-0.06559999999999999,0.1048,Gowth rates,-0.6259541984732824
Revenue Growth (TTM),0.0391,0.1169,Gowth rates,0.33447390932420873
Return On Equity (TTM),0.1253,0.2389,Effectiveness,0.5244872331519463
Return On Assets (TTM),0.0698,0.0707,Effectiveness,0.9872701555869873
Return On Investment (TTM),0.0827,0.08630000000000002,Effectiveness,0.9582850521436846
Revenue Per Employee (TTM),222625.0,329144.0,Effectiveness,0.6763756896677442
Total Debt/Total Capital (MRQ),0.3226,0.35850000000000004,Financial strength,0.8998605299860529
Change in Debt/Total Capital Quarter over Quarter,-0.002,0.0015,Financial strength,-1.3333333333333333
Quick Ratio (MRQ),0.58,1.99,Financial strength,0.2914572864321608
Interest Coverage (MRQ),8.55,10.05,Financial strength,0.8507462686567164
