,COO
% Below High,0.1673
% Held by Institutions,0.9102
52-Wk Range,['236.68 - 365.68']
Annual Dividend $,0.06
Annual Dividend %,0.0002
Ask,367.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,263.98
Bid Size,100.0
Closing Price,304.52
Day Change $,0.62
Day Change %,0.002
Day High,308.93
Day Low,302.31
Dividend Pay Date,2020-02-10 00:00:00
"EPS (TTM, GAAP)",9.0
Ex-dividend,2020-01-22 00:00:00
Ex-dividend Date,01/22/20
Historical Volatility,0.36100000000000004
Last (size),67.0
Last (time),6:30p ET 05/08/20
Market Cap,16.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",33.77
Prev Close,303.9
Short Interest,0.013999999999999999
Today's Open,307.64
Volume,253281.0
Volume 10-day Avg,278868.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.1869918699186992
Growth 1yr High Est,0.06477732793522284
Growth 1yr Consensus Est,-0.06110727099173818
Growth 2yr Low Est,-0.02349593495934954
Growth 2yr High Est,0.09512630655316279
Growth 2yr Consensus Est,0.03581518579690662
Growth 5yr Low Est,0.0565567479580632
Growth 5yr High Est,0.11108423457009137
Growth 5yr Consensus Est,0.08382049126407728
Growth 5yr Actual/Est,0.0983745307082079
Growth 3yr Historic,0.06487001344688481
Price/Earnings (TTM),33.76715
Price/Sales (TTM),6.06668
Price/Book (MRQ),4.00779
Price/Cash Flow (TTM),22.17724
5yr Low,119.28
5yr High,365.68
5yr Avg Return,0.11551666666666667
EPS Growth 5yr,0.1083305
Revenue Growth 5yr,0.09085549999999999
Dividend Growth 5yr,0.0
Short Int Current Month,744773.0
Short Int Prev Month,710497.0
Short Int Pct of Float,0.014039999999999999
Days to Cover,2.33774
Float,53.04829
Shares Outstanding,53.33045
Institutions Holding Shares,740.0
FCF Growth 5yr,0.3247463643841154
"Price/Earnings (TTM, GAAP)",33.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6606000000000001
Operating Profit Margin (TTM),0.2047
Net Profit Margin (TTM),0.1678
Annual Dividend Yield,0.0002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2097
EPS Growth (TTM),0.1858
Revenue Growth (MRQ),-0.06559999999999999
Revenue Growth (TTM),0.0391
Return On Equity (TTM),0.1253
Return On Assets (TTM),0.0698
Return On Investment (TTM),0.0827
Revenue Per Employee (TTM),222625.0
Total Debt/Total Capital (MRQ),0.3226
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),0.58
Interest Coverage (MRQ),8.55
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2018-06-18 00:00:00
cfra since,2018-09-01 00:00:00
ford since,2019-10-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
