,TSCO
% Below High,0.0616
% Held by Institutions,0.8602
52-Wk Range,['63.89 - 114.25']
Annual Dividend $,1.4
Annual Dividend %,0.013300000000000001
Ask,108.74
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,102.73
Bid Size,100.0
Closing Price,107.21
Day Change $,2.04
Day Change %,0.0194
Day High,107.82
Day Low,105.48
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",4.74
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.37200000000000005
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.6
Prev Close,105.17
Short Interest,0.0319
Today's Open,106.54
Volume,933149.0
Volume 10-day Avg,1567933.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.07939914163090134
Growth 1yr High Est,0.056842105263157805
Growth 1yr Consensus Est,-0.011278518183871766
Growth 2yr Low Est,-0.029210060325940146
Growth 2yr High Est,0.11009435940448731
Growth 2yr Consensus Est,0.04044214953927358
Growth 5yr Low Est,0.08631296693427234
Growth 5yr High Est,0.15266255112101185
Growth 5yr Consensus Est,0.1194877590276421
Growth 5yr Actual/Est,0.1307526096124736
Growth 3yr Historic,0.09387519770350394
Price/Earnings (TTM),22.60017
Price/Sales (TTM),1.46533
Price/Book (MRQ),9.15447
Price/Cash Flow (TTM),16.13473
5yr Low,49.87
5yr High,114.25
5yr Avg Return,0.043
EPS Growth 5yr,0.1185522
Revenue Growth 5yr,0.0789568
Dividend Growth 5yr,0.173929
Short Int Current Month,3789945.0
Short Int Prev Month,2478114.0
Short Int Pct of Float,0.031921
Days to Cover,2.19379
Float,115.8806
Shares Outstanding,116.0247
Institutions Holding Shares,931.0
FCF Growth 5yr,0.2702525109913738
"Price/Earnings (TTM, GAAP)",22.6
"PEG Ratio (TTM, GAAP)",2.21
Gross Profit Margin (TTM),0.3437
Operating Profit Margin (TTM),0.0886
Net Profit Margin (TTM),0.0671
Annual Dividend Yield,0.0131
Dividend Change %,0.1333
"Dividend Growth Rate, 3 Years",0.1392
EPS Growth (MRQ),-0.40990000000000004
EPS Growth (TTM),0.08310000000000001
Revenue Growth (MRQ),-0.1061
Revenue Growth (TTM),0.0545
Return On Equity (TTM),0.401
Return On Assets (TTM),0.09949999999999999
Return On Investment (TTM),0.1319
Revenue Per Employee (TTM),530556.0
Total Debt/Total Capital (MRQ),0.4379
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),0.38
Interest Coverage (MRQ),23.68
newConstructs,1
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,4
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-05-22 00:00:00
cfra since,2018-05-01 00:00:00
ford since,2019-07-26 00:00:00
creditSuisse since,2016-09-08 00:00:00
