,Industry,TSCO,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.3,22.6,Valuation,1.0134529147982063
Price/Sales (TTM),202.03,1.47,Valuation,0.007276147106865317
Price/Book (MRQ),30.14,9.15,Valuation,0.3035832780358328
"PEG Ratio (TTM, GAAP)",1.1,2.21,Valuation,2.009090909090909
Gross Profit Margin (TTM),0.3351,0.3437,Profitability,1.0256639809012236
Operating Profit Margin (TTM),0.0725,0.0886,Profitability,1.2220689655172414
Net Profit Margin (TTM),0.039900000000000005,0.0671,Profitability,1.681704260651629
Annual Dividend Yield,0.0167,0.0131,Dividend,0.784431137724551
Dividend Change %,0.17579999999999998,0.1333,Dividend,0.7582480091012515
"Dividend Growth Rate, 3 Years",0.16570000000000001,0.1392,Dividend,0.8400724200362099
EPS Growth (MRQ),0.33170000000000005,-0.40990000000000004,Gowth rates,-1.2357552004823635
EPS Growth (TTM),0.2023,0.08310000000000001,Gowth rates,0.4107760751359367
Revenue Growth (MRQ),0.0322,-0.1061,Gowth rates,-3.2950310559006213
Revenue Growth (TTM),0.055999999999999994,0.0545,Gowth rates,0.9732142857142858
Return On Equity (TTM),0.5252,0.401,Effectiveness,0.7635186595582636
Return On Assets (TTM),0.1512,0.09949999999999999,Effectiveness,0.658068783068783
Return On Investment (TTM),0.2407,0.1319,Effectiveness,0.5479850436227669
Revenue Per Employee (TTM),323754.0,530556.0,Effectiveness,1.6387627643210585
Total Debt/Total Capital (MRQ),0.7842,0.4379,Financial strength,0.558403468502933
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0045000000000000005,Financial strength,-5.625
Quick Ratio (MRQ),0.38,0.38,Financial strength,1.0
Interest Coverage (MRQ),13.86,23.68,Financial strength,1.7085137085137085
