,2015,2016,2017,2018,2019,2020,Report
high,244.71,240.55,270.04,267.41,334.17,329.74,
low,205.72,191.25,218.41,214.03,235.51,175.81,
change,0.055400000000000005,-0.025,0.032400000000000005,0.0134,0.23629999999999998,-0.1839,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,30.0,65.0,45.0,134.0,70.0,,Balance Sheet
"Total Receivables, Net",13.0,12.0,41.0,13.0,15.0,,Balance Sheet
Total Inventory,269.0,292.0,356.0,455.0,546.0,,Balance Sheet
Prepaid Expenses,42.0,48.0,39.0,39.0,41.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,12331.0,12676.0,13362.0,13366.0,14038.0,,Balance Sheet
Accumulated Depreciation,-1950.0,-2312.0,-2769.0,-3210.0,-3689.0,,Balance Sheet
Prop./Plant/Equip. - Net,10382.0,10365.0,10593.0,10157.0,10423.0,,Balance Sheet
LT Invt. - Affiliate Comp.,1036.0,1161.0,1156.0,1300.0,1335.0,,Balance Sheet
LT Investments - Other,137.0,139.0,190.0,210.0,144.0,,Balance Sheet
Long Term Investments,1174.0,1300.0,1346.0,1510.0,1480.0,,Balance Sheet
Note Rcvble - Long Term,6.0,29.0,60.0,59.0,120.0,,Balance Sheet
Restricted Cash - LT,93.0,105.0,17.0,17.0,11.0,,Balance Sheet
Total Assets,12008.0,12217.0,12496.0,12384.0,12705.0,,Balance Sheet
Payable/Accrued,131.0,138.0,128.0,127.0,158.0,,Balance Sheet
Accrued Expenses,,,,,77.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,100.0,110.0,121.0,129.0,135.0,,Balance Sheet
Other Payables,41.0,36.0,52.0,59.0,49.0,,Balance Sheet
"Other Curr. Lblts, Total",141.0,146.0,173.0,188.0,184.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,5319.0,5563.0,5689.0,5606.0,5809.0,,Balance Sheet
Total Debt,5319.0,5563.0,5689.0,5606.0,5809.0,,Balance Sheet
Minority Interest,145.0,145.0,159.0,162.0,220.0,,Balance Sheet
"Other Liabilities, Total",35.0,33.0,70.0,33.0,37.0,,Balance Sheet
Total Liabilities,5771.0,6025.0,6218.0,6117.0,6485.0,,Balance Sheet
Redeemable Preferred Stock,74.0,0.0,,,,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,7003.0,7030.0,7130.0,7093.0,7122.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-797.0,-805.0,-834.0,-813.0,-888.0,,Balance Sheet
Unrealized Gain (Loss),6.0,1.0,2.0,-13.0,0.0,,Balance Sheet
"Other Equity, Total",-48.0,-33.0,-21.0,0.0,-14.0,,Balance Sheet
Total Equity,6238.0,6192.0,6277.0,6267.0,6220.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,12008.0,12217.0,12496.0,12384.0,12705.0,,Balance Sheet
Ttl Comm. Shares Outs.,65.0,66.0,66.0,66.0,66.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 4,0.0,0.0,,,,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,1194.0,1294.0,1364.0,1400.0,1460.0,,Income Statement
"Cost of Revenue, Total",364.0,389.0,406.0,385.0,398.0,,Income Statement
Selling/Gen/Admin Expense,40.0,41.0,41.0,53.0,54.0,,Income Statement
Labor & Related Expense,,,,31.0,33.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",40.0,41.0,41.0,85.0,87.0,,Income Statement
Depreciation/Amortization,453.0,442.0,469.0,480.0,484.0,,Income Statement
Impair-Assets Held for Use,,,,,7.0,,Income Statement
Other Unusual Expnse (In),10.0,2.0,3.0,0.0,-4.0,,Income Statement
Unusual Expense (Income),12.0,2.0,3.0,0.0,7.0,,Income Statement
Loss(Gain)/Sale Asts (Oper),2.0,0.0,0.0,,3.0,,Income Statement
Total Operating Expense,869.0,874.0,919.0,950.0,975.0,,Income Statement
Total Operating Income,325.0,420.0,445.0,450.0,485.0,,Income Statement
"Inter Expse,Net Non-Operat",-205.0,-220.0,-223.0,-220.0,-217.0,,Income Statement
"Inter Income, Non-Operating",19.0,27.0,25.0,23.0,46.0,,Income Statement
"Invest Income, Non-Operat",28.0,60.0,97.0,98.0,121.0,,Income Statement
"Inter/Invest Inc, Non-Oper",47.0,88.0,121.0,121.0,167.0,,Income Statement
