,CL
% Below High,0.1039
% Held by Institutions,0.7833
52-Wk Range,['58.49 - 77.41']
Annual Dividend $,1.76
Annual Dividend %,0.0256
Ask,70.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,69.37
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,69.37
Day Change $,0.57
Day Change %,0.0083
Day High,69.82
Day Low,68.78
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2020-04-17 00:00:00
Ex-dividend Date,04/17/20
Historical Volatility,0.319
Last (size),105.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,59.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",23.45
Prev Close,68.8
Short Interest,0.0115
Today's Open,69.75
Volume,3938963.0
Volume 10-day Avg,4157461.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.021582733812949506
Growth 1yr High Est,0.045454545454545636
Growth 1yr Consensus Est,0.011935905820798065
Growth 2yr Low Est,0.022296868387642887
Growth 2yr High Est,0.066205533596838
Growth 2yr Consensus Est,0.04425120099224045
Growth 5yr Low Est,0.009108828315883055
Growth 5yr High Est,0.03127591376618441
Growth 5yr Consensus Est,0.020192371041033733
Growth 5yr Actual/Est,0.01613930102252087
Growth 3yr Historic,-0.0030737103907835794
Price/Earnings (TTM),23.44826
Price/Sales (TTM),3.70484
Price/Book (MRQ),
Price/Cash Flow (TTM),18.42112
5yr Low,50.84
5yr High,77.91
5yr Avg Return,0.015233333333333335
EPS Growth 5yr,0.0310988
Revenue Growth 5yr,-0.0190485
Dividend Growth 5yr,0.0378666
Short Int Current Month,9861119.0
Short Int Prev Month,10218173.0
Short Int Pct of Float,0.0115148
Days to Cover,2.3531
Float,855.4235
Shares Outstanding,856.5284
Institutions Holding Shares,1930.0
FCF Growth 5yr,0.04510125999148451
"Price/Earnings (TTM, GAAP)",23.45
"PEG Ratio (TTM, GAAP)",5.52
Gross Profit Margin (TTM),0.5972999999999999
Operating Profit Margin (TTM),0.22760000000000002
Net Profit Margin (TTM),0.16820000000000002
Annual Dividend Yield,0.0256
Dividend Change %,0.0301
"Dividend Growth Rate, 3 Years",0.0333
EPS Growth (MRQ),0.1104
EPS Growth (TTM),0.0596
Revenue Growth (MRQ),0.0204
Revenue Growth (TTM),0.0311
Return On Equity (TTM),
Return On Assets (TTM),0.19140000000000001
Return On Investment (TTM),0.2838
Revenue Per Employee (TTM),463732.0
Total Debt/Total Capital (MRQ),0.9584
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),26.61
newConstructs,2
researchTeam,reduce
cfra,2
theStreet,hold
creditSuisse,underperform
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-04-26 00:00:00
cfra since,2019-04-26 00:00:00
theStreet since,2020-05-04 00:00:00
creditSuisse since,2019-03-06 00:00:00
ford since,2019-08-02 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
