,NLOK
% Below High,0.025
% Held by Institutions,0.8803
52-Wk Range,['10.11 - 21.83']
Annual Dividend $,0.5
Annual Dividend %,0.0236
Ask,21.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,21.25
Bid Size,100.0
Closing Price,21.28
Day Change $,0.1
Day Change %,0.004699999999999999
Day High,21.47
Day Low,20.93
Dividend Pay Date,2020-03-18 00:00:00
"EPS (TTM, GAAP)",0.62
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.644
Last (size),495.0
Last (time),4:00p ET 05/08/20
Market Cap,12.8B
"P/E Ratio (TTM, GAAP)",34.25
Prev Close,21.18
Short Interest,0.0378
Today's Open,21.3
Volume,4356031.0
Volume 10-day Avg,6208688.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-14 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.49375
Growth 1yr High Est,-0.49390243902439024
Growth 1yr Consensus Est,-0.49382621951219513
Growth 2yr Low Est,-0.22218364197530865
Growth 2yr High Est,0.0723258889215399
Growth 2yr Consensus Est,-0.07492887652688437
Growth 5yr Low Est,-0.02210877014019666
Growth 5yr High Est,0.12222851823126174
Growth 5yr Consensus Est,0.05005987404553254
Growth 5yr Actual/Est,0.12688954472033942
Growth 3yr Historic,-0.05319175609266874
Price/Earnings (TTM),34.25023
Price/Sales (TTM),4.14882
Price/Book (MRQ),1.49873
Price/Cash Flow (TTM),14.76903
5yr Low,15.12
5yr High,34.2
5yr Avg Return,0.007283333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.066558
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,22463351.0
Short Int Prev Month,22158949.0
Short Int Pct of Float,0.037798
Days to Cover,4.72944
Float,580.658
Shares Outstanding,600.3842
Institutions Holding Shares,741.0
FCF Growth 5yr,-1.0543210058482475
"Price/Earnings (TTM, GAAP)",34.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8101
Operating Profit Margin (TTM),0.1325
Net Profit Margin (TTM),0.1292
Annual Dividend Yield,0.0235
Dividend Change %,-0.4286
"Dividend Growth Rate, 3 Years",-0.20629999999999998
EPS Growth (MRQ),9.0386
EPS Growth (TTM),15.704200000000002
Revenue Growth (MRQ),0.016399999999999998
Revenue Growth (TTM),-0.2683
Return On Equity (TTM),0.0543
Return On Assets (TTM),0.0226
Return On Investment (TTM),0.029700000000000004
Revenue Per Employee (TTM),257563.0
Total Debt/Total Capital (MRQ),0.33990000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,3
ford,2
theStreet,buy
creditSuisse,neutral
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-28 00:00:00
cfra since,2019-12-12 00:00:00
ford since,2020-05-01 00:00:00
theStreet since,2020-02-07 00:00:00
creditSuisse since,2019-11-27 00:00:00
marketEdge since,
