,CPB
% Below High,0.1091
% Held by Institutions,0.5203
52-Wk Range,['35.27 - 57.54']
Annual Dividend $,1.4
Annual Dividend %,0.0279
Ask,52.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,50.6
Bid Size,100.0
Closing Price,51.26
Day Change $,1.02
Day Change %,0.0203
Day High,51.36
Day Low,50.35
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",1.3
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.304
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,15.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.6
Prev Close,50.24
Short Interest,0.0736
Today's Open,50.7
Volume,1182601.0
Volume 10-day Avg,1877334.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.06694560669456062
Growth 1yr High Est,0.1776061776061777
Growth 1yr Consensus Est,0.12227589215036916
Growth 2yr Low Est,0.013864960210025479
Growth 2yr High Est,0.07240964618013807
Growth 2yr Consensus Est,0.04313730319508177
Growth 5yr Low Est,-0.04600597636605244
Growth 5yr High Est,-0.0035414878054231824
Growth 5yr Consensus Est,-0.024773732085737812
Growth 5yr Actual/Est,-0.021481035172827845
Growth 3yr Historic,-0.03478901996370237
Price/Earnings (TTM),38.60043
Price/Sales (TTM),2.02102
Price/Book (MRQ),6.26489
Price/Cash Flow (TTM),20.9677
5yr Low,32.04
5yr High,67.89
5yr Avg Return,0.05583333333333333
EPS Growth 5yr,-0.0869734
Revenue Growth 5yr,-0.0039252
Dividend Growth 5yr,0.023252199999999997
Short Int Current Month,12458799.0
Short Int Prev Month,11632307.0
Short Int Pct of Float,0.07360699999999999
Days to Cover,4.65142
Float,169.2706
Shares Outstanding,301.7446
Institutions Holding Shares,775.0
FCF Growth 5yr,0.05848218556378022
"Price/Earnings (TTM, GAAP)",38.6
"PEG Ratio (TTM, GAAP)",14.04
Gross Profit Margin (TTM),0.3397
Operating Profit Margin (TTM),0.1192
Net Profit Margin (TTM),0.0527
Annual Dividend Yield,0.0279
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0391
EPS Growth (MRQ),0.0085
EPS Growth (TTM),-0.1478
Revenue Growth (MRQ),-0.0096
Revenue Growth (TTM),0.0529
Return On Equity (TTM),0.20989999999999998
Return On Assets (TTM),0.0308
Return On Investment (TTM),0.0398
Revenue Per Employee (TTM),394790.0
Total Debt/Total Capital (MRQ),0.6996
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),0.31
Interest Coverage (MRQ),2.6
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,2
ford,1
marketEdge opinion,long
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-08-31 00:00:00
theStreet since,2019-12-05 00:00:00
cfra since,2019-08-31 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-03-05 00:00:00
