,BMY
% Below High,0.1067
% Held by Institutions,0.7620999999999999
52-Wk Range,['42.48 - 68.34']
Annual Dividend $,1.8
Annual Dividend %,0.029500000000000002
Ask,61.24
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,61.05
Bid Size,300.0
Change Since Close,0.17| |(0.28%)
Closing Price,61.05
Day Change $,0.01
Day Change %,0.0002
Day High,62.18
Day Low,60.95
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",0.81
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.287
Last (size),31.0
Last (time),6:30p ET 05/08/20
Last Trade,61.22
Market Cap,138.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",75.45
Prev Close,61.04
Short Interest,0.0146
Today's Open,61.83
Volume,16961400.0
Volume 10-day Avg,14444136.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.5406824146981628
Growth 1yr High Est,0.5768261964735515
Growth 1yr Consensus Est,0.5587543055858571
Growth 2yr Low Est,0.3759630131412449
Growth 2yr High Est,0.40742268290131256
Growth 2yr Consensus Est,0.39169284802127874
Growth 5yr Low Est,0.25977204711116303
Growth 5yr High Est,0.2791211775162301
Growth 5yr Consensus Est,0.2694466123136966
Growth 5yr Actual/Est,0.2529879339176171
Growth 3yr Historic,0.12516277400290493
Price/Earnings (TTM),75.45024
Price/Sales (TTM),4.454
Price/Book (MRQ),2.7676
Price/Cash Flow (TTM),27.19054
5yr Low,42.48
5yr High,77.12
5yr Avg Return,-0.001866666666666661
EPS Growth 5yr,0.1085349
Revenue Growth 5yr,0.1048749
Dividend Growth 5yr,0.0263519
Short Int Current Month,33049826.0
Short Int Prev Month,27442618.0
Short Int Pct of Float,0.0146262
Days to Cover,2.3684
Float,2259.385
Shares Outstanding,2262.463
Institutions Holding Shares,2725.0
FCF Growth 5yr,0.47112047386763206
"Price/Earnings (TTM, GAAP)",75.45
"PEG Ratio (TTM, GAAP)",6.31
Gross Profit Margin (TTM),0.6916
Operating Profit Margin (TTM),0.1933
Net Profit Margin (TTM),0.0316
Annual Dividend Yield,0.029500000000000002
Dividend Change %,0.025
"Dividend Growth Rate, 3 Years",0.0257
EPS Growth (MRQ),0.3766
EPS Growth (TTM),-0.7438
Revenue Growth (MRQ),0.35700000000000004
Revenue Growth (TTM),0.33140000000000003
Return On Equity (TTM),0.029300000000000003
Return On Assets (TTM),0.011899999999999999
Return On Investment (TTM),0.0144
Revenue Per Employee (TTM),1033533.0
Total Debt/Total Capital (MRQ),0.48310000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0070999999999999995
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),2.53
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
ford,1
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2020-03-21 00:00:00
theStreet since,2020-04-14 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
