,EMN
% Below High,0.2555
% Held by Institutions,0.8273
52-Wk Range,['34.44 - 83.99']
Annual Dividend $,2.64
Annual Dividend %,0.0437
Ask,64.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,60.0
Bid Size,100.0
Closing Price,62.53
Day Change $,2.06
Day Change %,0.0341
Day High,62.72
Day Low,61.33
Dividend Pay Date,2020-07-10 00:00:00
"EPS (TTM, GAAP)",5.86
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.489
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.31
Prev Close,60.47
Short Interest,0.0147
Today's Open,61.65
Volume,787641.0
Volume 10-day Avg,1471025.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.26217765042979946
Growth 1yr High Est,-0.06433566433566429
Growth 1yr Consensus Est,-0.16325665738273187
Growth 2yr Low Est,-0.04371018443820074
Growth 2yr High Est,0.03883366260047871
Growth 2yr Consensus Est,-0.0024382609188610127
Growth 5yr Low Est,-0.08215217115157158
Growth 5yr High Est,-0.02639076581351733
Growth 5yr Consensus Est,-0.05427146848254446
Growth 5yr Actual/Est,-0.012869350105147143
Growth 3yr Historic,-0.013239559629499076
Price/Earnings (TTM),10.31104
Price/Sales (TTM),0.89966
Price/Book (MRQ),
Price/Cash Flow (TTM),5.83631
5yr Low,34.44
5yr High,112.45
5yr Avg Return,-0.023733333333333335
EPS Growth 5yr,0.0202695
Revenue Growth 5yr,-0.005390000000000001
Dividend Growth 5yr,0.1211526
Short Int Current Month,1991402.0
Short Int Prev Month,1752238.0
Short Int Pct of Float,0.0147211
Days to Cover,1.1359
Float,135.0504
Shares Outstanding,135.8943
Institutions Holding Shares,870.0
FCF Growth 5yr,0.03578521405482926
"Price/Earnings (TTM, GAAP)",10.31
"PEG Ratio (TTM, GAAP)",3.95
Gross Profit Margin (TTM),0.24489999999999998
Operating Profit Margin (TTM),0.125
Net Profit Margin (TTM),0.08900000000000001
Annual Dividend Yield,0.0437
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.10460000000000001
EPS Growth (MRQ),8.981
EPS Growth (TTM),-0.1468
Revenue Growth (MRQ),0.0163
Revenue Growth (TTM),-0.0796
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),629931.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.85
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-03-03 00:00:00
cfra since,2020-04-03 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
