,EMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.31,38.27,Valuation,0.26940162006793833
Price/Sales (TTM),0.9,3.08,Valuation,0.2922077922077922
Price/Book (MRQ),,4.22,Valuation,
"PEG Ratio (TTM, GAAP)",3.95,0.32,Valuation,12.34375
Gross Profit Margin (TTM),0.24489999999999998,0.3542,Profitability,0.6914172783738001
Operating Profit Margin (TTM),0.125,0.09910000000000001,Profitability,1.2613521695257315
Net Profit Margin (TTM),0.08900000000000001,0.0683,Profitability,1.3030746705710103
Annual Dividend Yield,0.0437,0.0256,Dividend,1.70703125
Dividend Change %,0.10710000000000001,0.09,Dividend,1.1900000000000002
"Dividend Growth Rate, 3 Years",0.10460000000000001,0.054900000000000004,Dividend,1.9052823315118397
EPS Growth (MRQ),8.981,-0.07110000000000001,Gowth rates,-126.31504922644162
EPS Growth (TTM),-0.1468,-1.1804000000000001,Gowth rates,0.124364622161979
Revenue Growth (MRQ),0.0163,0.0044,Gowth rates,3.704545454545454
Revenue Growth (TTM),-0.0796,0.09369999999999999,Gowth rates,-0.8495197438633939
Return On Equity (TTM),,0.14550000000000002,Effectiveness,
Return On Assets (TTM),,0.0393,Effectiveness,
Return On Investment (TTM),,0.057800000000000004,Effectiveness,
Revenue Per Employee (TTM),629931.0,547214.0,Effectiveness,1.1511602407833132
Total Debt/Total Capital (MRQ),,0.4595,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0003,Financial strength,-2.0
Quick Ratio (MRQ),,1.14,Financial strength,
Interest Coverage (MRQ),6.85,11.97,Financial strength,0.5722639933166248
