,EMN
Price/Earnings (TTM),10.31104
Price/Sales (TTM),0.89966
Price/Book (MRQ),
Price/Cash Flow (TTM),5.83631
5yr Low,34.44
5yr High,112.45
5yr Avg Return,-0.023733333333333335
EPS Growth 5yr,0.0202695
Revenue Growth 5yr,-0.005390000000000001
Dividend Growth 5yr,0.1211526
Short Int Current Month,1991402.0
Short Int Prev Month,1752238.0
Short Int Pct of Float,0.0147211
Days to Cover,1.1359
Float,135.0504
Shares Outstanding,135.8943
Institutions Holding Shares,870.0
% Held by Institutions,0.827259
FCF Growth 5yr,0.03578521405482926
