,IP
% Above Low,0.30210000000000004
% Held by Institutions,0.8140000000000001
52-Wk Range,['26.38 - 47.64']
Annual Dividend $,2.05
Annual Dividend %,0.0629
Ask,34.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,32.03
Bid Size,100.0
Closing Price,34.35
Day Change $,1.75
Day Change %,0.0537
Day High,34.39
Day Low,33.09
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",1.66
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.46799999999999997
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.6
Prev Close,32.6
Short Interest,0.026099999999999998
Today's Open,33.18
Volume,1931308.0
Volume 10-day Avg,3887443.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6588235294117647
Growth 1yr High Est,-0.4105960264900663
Growth 1yr Consensus Est,-0.5347097779509156
Growth 2yr Low Est,-0.2397565922920893
Growth 2yr High Est,-0.113537713619565
Growth 2yr Consensus Est,-0.17664715295582714
Growth 5yr Low Est,-0.041024155964673376
Growth 5yr High Est,0.03198324535544775
Growth 5yr Consensus Est,-0.004520455304612828
Growth 5yr Actual/Est,-0.02431428815405362
Growth 3yr Historic,0.08926551694422302
Price/Earnings (TTM),19.60383
Price/Sales (TTM),0.58017
Price/Book (MRQ),1.86748
Price/Cash Flow (TTM),6.8777
5yr Low,26.38
5yr High,66.94
5yr Avg Return,-0.030316666666666662
EPS Growth 5yr,0.1842033
Revenue Growth 5yr,-0.0107375
Dividend Growth 5yr,0.0677598
Short Int Current Month,10227103.0
Short Int Prev Month,9445864.0
Short Int Pct of Float,0.0260955
Days to Cover,2.7106
Float,392.492
Shares Outstanding,393.0413
Institutions Holding Shares,1082.0
FCF Growth 5yr,0.7033427734651775
"Price/Earnings (TTM, GAAP)",19.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3177
Operating Profit Margin (TTM),0.0746
Net Profit Margin (TTM),0.024900000000000002
Annual Dividend Yield,0.0629
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.041299999999999996
EPS Growth (MRQ),-1.8576
EPS Growth (TTM),-0.6027
Revenue Growth (MRQ),-0.026600000000000002
Revenue Growth (TTM),-0.0533
Return On Equity (TTM),0.09240000000000001
Return On Assets (TTM),0.0163
Return On Investment (TTM),0.0207
Revenue Per Employee (TTM),433039.0
Total Debt/Total Capital (MRQ),0.5984
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),4.07
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2019-05-29 00:00:00
theStreet since,2020-03-10 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-02-14 00:00:00
