,SYF
% Above Low,0.5325
% Held by Institutions,1.0372
52-Wk Range,['12.15 - 38.18']
Annual Dividend $,0.88
Annual Dividend %,0.0489
Ask,18.8
Ask Size,4000.0
B/A Ratio,0.025
B/A Size,100x4000
Beta,1.7
Bid,18.56
Bid Size,100.0
Closing Price,18.62
Day Change $,0.63
Day Change %,0.035
Day High,18.68
Day Low,18.3
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.658
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.2
Prev Close,17.99
Short Interest,0.023700000000000002
Today's Open,18.48
Volume,4907820.0
Volume 10-day Avg,9355943.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-2.2523809523809524
Growth 1yr High Est,-0.34883720930232565
Growth 1yr Consensus Est,-1.300609080841639
Growth 2yr Low Est,-1.7554680427304001
Growth 2yr High Est,0.04700996677740871
Growth 2yr Consensus Est,-0.8542290379764957
Growth 5yr Low Est,-0.7303744365056152
Growth 5yr High Est,0.16693213330905846
Growth 5yr Consensus Est,-0.2817211515982784
Growth 5yr Actual/Est,0.3381146975515674
Growth 3yr Historic,0.14363493488998652
Price/Earnings (TTM),4.19522
Price/Sales (TTM),0.64544
Price/Book (MRQ),0.96652
Price/Cash Flow (TTM),3.30253
5yr Low,12.15
5yr High,40.59
5yr Avg Return,-0.024583333333333336
EPS Growth 5yr,0.14852869999999999
Revenue Growth 5yr,0.0929259
Dividend Growth 5yr,
Short Int Current Month,13831881.0
Short Int Prev Month,12937304.0
Short Int Pct of Float,0.023653
Days to Cover,1.28883
Float,581.5674
Shares Outstanding,583.7078
Institutions Holding Shares,954.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2261
Net Profit Margin (TTM),0.17379999999999998
Annual Dividend Yield,0.04730000000000001
Dividend Change %,0.11539999999999999
"Dividend Growth Rate, 3 Years",0.49570000000000003
EPS Growth (MRQ),-0.6053000000000001
EPS Growth (TTM),-0.008
Revenue Growth (MRQ),-0.0388
Revenue Growth (TTM),0.0098
Return On Equity (TTM),0.22469999999999998
Return On Assets (TTM),0.0288
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,1
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2018-02-12 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2020-04-04 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2014-09-09 00:00:00
