,IQV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",124.71,39.75,Valuation,3.1373584905660374
Price/Sales (TTM),2.32,7.43,Valuation,0.3122476446837147
Price/Book (MRQ),4.65,8.09,Valuation,0.5747836835599506
"PEG Ratio (TTM, GAAP)",14.43,1.17,Valuation,12.333333333333334
Gross Profit Margin (TTM),0.33890000000000003,0.4958,Profitability,0.6835417507059298
Operating Profit Margin (TTM),0.066,0.1328,Profitability,0.49698795180722893
Net Profit Margin (TTM),0.0227,0.12480000000000001,Profitability,0.18189102564102563
Annual Dividend Yield,,0.0019,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0348,Dividend,
EPS Growth (MRQ),4.1686000000000005,-0.0006,Gowth rates,-6947.666666666668
EPS Growth (TTM),0.0481,0.341,Gowth rates,0.14105571847507328
Revenue Growth (MRQ),-0.0487,0.0514,Gowth rates,-0.9474708171206225
Revenue Growth (TTM),0.0593,0.0785,Gowth rates,0.7554140127388534
Return On Equity (TTM),0.0354,0.2126,Effectiveness,0.1665098777046096
Return On Assets (TTM),0.011000000000000001,0.0734,Effectiveness,0.14986376021798364
Return On Investment (TTM),0.013200000000000002,0.0873,Effectiveness,0.1512027491408935
Revenue Per Employee (TTM),166537.0,318090.0,Effectiveness,0.5235530824609387
Total Debt/Total Capital (MRQ),0.6747,0.40409999999999996,Financial strength,1.6696362286562734
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0002,Financial strength,3.5000000000000004
Quick Ratio (MRQ),,2.18,Financial strength,
Interest Coverage (MRQ),2.38,7.24,Financial strength,0.3287292817679558
