,IQV
% Below High,0.1862
% Held by Institutions,0.9181
52-Wk Range,['81.79 - 169.14']
Annual Dividend $,
Annual Dividend %,
Ask,169.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,112.0
Bid Size,200.0
Closing Price,137.65
Day Change $,2.13
Day Change %,0.015700000000000002
Day High,139.35
Day Low,136.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.09
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),4.0
Last (time),6:30p ET 05/08/20
Market Cap,26.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",124.71
Prev Close,135.52
Short Interest,0.0189
Today's Open,138.06
Volume,677940.0
Volume 10-day Avg,1176648.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.161648177496038
Growth 1yr High Est,-0.05763239875389414
Growth 1yr Consensus Est,-0.10964028812496607
Growth 2yr Low Est,-0.00899044035482427
Growth 2yr High Est,0.11829123863958185
Growth 2yr Consensus Est,0.05465039914237879
Growth 5yr Low Est,0.08179527971265602
Growth 5yr High Est,0.14609794587056749
Growth 5yr Consensus Est,0.11394661279161175
Growth 5yr Actual/Est,0.12137875678484689
Growth 3yr Historic,0.0849470455466173
Price/Earnings (TTM),124.7136
Price/Sales (TTM),2.31936
Price/Book (MRQ),4.65101
Price/Cash Flow (TTM),17.53348
5yr Low,55.01
5yr High,169.14
5yr Avg Return,0.14575000000000002
EPS Growth 5yr,-0.18847850000000002
Revenue Growth 5yr,0.1522113
Dividend Growth 5yr,
Short Int Current Month,3473443.0
Short Int Prev Month,2743915.0
Short Int Pct of Float,0.0188796
Days to Cover,2.01423
Float,182.1525
Shares Outstanding,190.9638
Institutions Holding Shares,969.0
FCF Growth 5yr,0.19707185444527525
"Price/Earnings (TTM, GAAP)",124.71
"PEG Ratio (TTM, GAAP)",14.43
Gross Profit Margin (TTM),0.33890000000000003
Operating Profit Margin (TTM),0.066
Net Profit Margin (TTM),0.0227
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.1686000000000005
EPS Growth (TTM),0.0481
Revenue Growth (MRQ),-0.0487
Revenue Growth (TTM),0.0593
Return On Equity (TTM),0.0354
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),0.013200000000000002
Revenue Per Employee (TTM),166537.0
Total Debt/Total Capital (MRQ),0.6747
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.38
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2019-05-02 00:00:00
cfra since,
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-03-31 00:00:00
