,MTB
% Above Low,0.1966
% Held by Institutions,0.8258
52-Wk Range,['87.64 - 174.93']
Annual Dividend $,4.4
Annual Dividend %,0.0433
Ask,106.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,96.2
Bid Size,100.0
Closing Price,104.87
Day Change $,3.25
Day Change %,0.032
Day High,106.19
Day Low,103.04
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",12.34
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.48
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.23
Prev Close,101.62
Short Interest,0.017
Today's Open,104.69
Volume,519446.0
Volume 10-day Avg,670851.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.8422664624808576
Growth 1yr High Est,-0.1690962099125365
Growth 1yr Consensus Est,-0.505681336196697
Growth 2yr Low Est,0.950225992060542
Growth 2yr High Est,-0.027530561096619166
Growth 2yr Consensus Est,0.4613477154819614
Growth 5yr Low Est,0.583369567627708
Growth 5yr High Est,0.0939230151721521
Growth 5yr Consensus Est,0.3386462913999301
Growth 5yr Actual/Est,0.0833419228708335
Growth 3yr Historic,0.11082589023090705
Price/Earnings (TTM),8.23363
Price/Sales (TTM),2.1482
Price/Book (MRQ),0.89485
Price/Cash Flow (TTM),7.02823
5yr Low,87.64
5yr High,197.37
5yr Avg Return,0.006800000000000009
EPS Growth 5yr,0.1313284
Revenue Growth 5yr,0.10537610000000001
Dividend Growth 5yr,0.0792577
Short Int Current Month,2202272.0
Short Int Prev Month,2182318.0
Short Int Pct of Float,0.0170319
Days to Cover,2.63615
Float,128.6852
Shares Outstanding,129.9507
Institutions Holding Shares,871.0
FCF Growth 5yr,0.19866908213086198
"Price/Earnings (TTM, GAAP)",8.23
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36810000000000004
Net Profit Margin (TTM),0.27899999999999997
Annual Dividend Yield,0.0433
Dividend Change %,0.1549
"Dividend Growth Rate, 3 Years",0.1356
EPS Growth (MRQ),-0.4632
EPS Growth (TTM),-0.1149
Revenue Growth (MRQ),-0.0552
Revenue Growth (TTM),0.006500000000000001
Return On Equity (TTM),0.1133
Return On Assets (TTM),0.013999999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2019-10-25 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
