,2015,2016,2017,2018,2019,2020,Report
high,134.0,158.35,176.62,197.37,176.11,174.0,
low,111.5,100.08,141.12,133.78,141.11,87.64,
change,-0.0003,0.3119,0.0808,-0.1702,0.203,-0.38439999999999996,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Due from Banks,1368.0,1321.0,1421.0,1605.0,1433.0,,Balance Sheet
Interest-Earning Deposits,7594.0,5001.0,5079.0,8105.0,7190.0,,Balance Sheet
Fed. Fund/Resale,0.0,,,,4.0,,Balance Sheet
Trading Account Assets,274.0,329.0,135.0,189.0,473.0,,Balance Sheet
Other Short Trm Invest.,803.0,735.0,491.0,819.0,921.0,,Balance Sheet
Securities Held,2672.0,2294.0,3213.0,3200.0,2560.0,,Balance Sheet
Securities for Sale,12430.0,13495.0,11037.0,8799.0,6416.0,,Balance Sheet
Total Invest. Securities,15102.0,15789.0,14249.0,11999.0,8976.0,,Balance Sheet
"Other Erng. Assets, Total",23774.0,21854.0,19954.0,21113.0,17564.0,,Balance Sheet
Total Gross Loans,87719.0,91102.0,88243.0,88733.0,91189.0,,Balance Sheet
Loan Loss Allowances,-956.0,-989.0,-1017.0,-1019.0,-1051.0,,Balance Sheet
Unearned Income,-230.0,-248.0,-254.0,-267.0,-266.0,,Balance Sheet
Net Loans,86534.0,89864.0,86972.0,87447.0,89872.0,,Balance Sheet
Buildings,675.0,681.0,695.0,706.0,745.0,,Balance Sheet
Land/Improvements,105.0,105.0,98.0,97.0,96.0,,Balance Sheet
Machinery/Equipment,615.0,636.0,677.0,670.0,740.0,,Balance Sheet
Other Prop./Plant/Equip.,12.0,15.0,18.0,19.0,451.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1407.0,1437.0,1487.0,1492.0,2032.0,,Balance Sheet
Accumulated Depreciation,-740.0,-762.0,-841.0,-844.0,-891.0,,Balance Sheet
Prop./Plant/Equip. - Net,667.0,675.0,646.0,647.0,1141.0,,Balance Sheet
"Goodwill, Net",4593.0,4593.0,4593.0,4593.0,4593.0,,Balance Sheet
Intangibles - Gross,1065.0,1065.0,1070.0,1070.0,138.0,,Balance Sheet
Accum. Intangible Amort.,-924.0,-967.0,-998.0,-1023.0,-109.0,,Balance Sheet
Intangibles - Net,140.0,98.0,72.0,47.0,29.0,,Balance Sheet
Interest Receivable,5693.0,5028.0,4921.0,4625.0,5217.0,,Balance Sheet
Other Assets,19.0,16.0,14.0,20.0,24.0,,Balance Sheet
"Other Assets, Total",5712.0,5044.0,4935.0,4645.0,5241.0,,Balance Sheet
Total Assets,122788.0,123449.0,118593.0,120097.0,119873.0,,Balance Sheet
Accounts Payable,1708.0,1635.0,1455.0,1447.0,1763.0,,Balance Sheet
Accrued Expenses,,,,,488.0,,Balance Sheet
Non-Interest Bearing Dep.,29111.0,32814.0,33975.0,32257.0,32396.0,,Balance Sheet
Interest Bearing Deposits,62847.0,62680.0,58457.0,57900.0,62374.0,,Balance Sheet
Total Deposits,91958.0,95494.0,92432.0,90157.0,94770.0,,Balance Sheet
Fed Funds Purch.,151.0,163.0,175.0,4398.0,62.0,,Balance Sheet
Other ST Borrowings,1982.0,0.0,,,,,Balance Sheet
Total ST Borrowings,2132.0,163.0,175.0,4398.0,62.0,,Balance Sheet
Total Long Term Debt,10654.0,9494.0,8141.0,8445.0,6986.0,,Balance Sheet
Total Debt,12786.0,9657.0,8317.0,12843.0,7049.0,,Balance Sheet
"Other Liabilities, Total",163.0,177.0,139.0,191.0,87.0,,Balance Sheet
Total Liabilities,106615.0,106963.0,102343.0,104637.0,104156.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",1232.0,1232.0,1232.0,1232.0,1250.0,,Balance Sheet
Common Stock,80.0,80.0,80.0,80.0,80.0,,Balance Sheet
Additional Paid-In Capital,6681.0,6677.0,6591.0,6579.0,6594.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),8431.0,9222.0,10165.0,11517.0,12821.0,,Balance Sheet
Treasury Stock - Common,,-432.0,-1454.0,-3529.0,-4823.0,,Balance Sheet
Unrealized Gain (Loss),48.0,-16.0,-44.0,-148.0,37.0,,Balance Sheet
Other Equity,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Min. Pension Lblty Adj.,-297.0,-273.0,-305.0,-261.0,-342.0,,Balance Sheet
Other Comprehensive Income,-3.0,-5.0,-15.0,-11.0,98.0,,Balance Sheet
"Other Equity, Total",-297.0,-276.0,-318.0,-271.0,-242.0,,Balance Sheet
Total Equity,16173.0,16487.0,16251.0,15460.0,15717.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,122788.0,123449.0,118593.0,120097.0,119873.0,,Balance Sheet
Ttl Comm. Shares Outs.,160.0,156.0,150.0,139.0,131.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,4.0,10.0,21.0,29.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Interest & Fees on Loans,2778.0,3485.0,3743.0,4165.0,4442.0,,Income Statement
Inter & Divs/ Invest Securs,376.0,364.0,363.0,325.0,289.0,,Income Statement
Interest on Deposits,15.0,46.0,61.0,108.0,141.0,,Income Statement
Other Interest Income,1.0,1.0,1.0,1.0,7.0,,Income Statement
"Interest Income, Bank",3171.0,3896.0,4168.0,4599.0,4880.0,,Income Statement
Interest on Deposit,74.0,191.0,196.0,272.0,485.0,,Income Statement
Inter on Other Borrowings,254.0,235.0,191.0,254.0,264.0,,Income Statement
Total Interest Expense,328.0,426.0,387.0,526.0,749.0,,Income Statement
Net Interest Income,2843.0,3470.0,3781.0,4072.0,4130.0,,Income Statement
Loan Loss Provision,170.0,190.0,168.0,132.0,176.0,,Income Statement
NetInterIn after Loan Loss Provision,2673.0,3280.0,3613.0,3940.0,3954.0,,Income Statement
Fees & Commish from Operat,891.0,891.0,929.0,967.0,1006.0,,Income Statement
Commish & Fees/Secur Act,441.0,437.0,425.0,412.0,507.0,,Income Statement
Dealer Trading Acct Profit,31.0,41.0,35.0,33.0,62.0,,Income Statement
Invest Securities Gains,0.0,30.0,21.0,-6.0,18.0,,Income Statement
Other Revenue,463.0,426.0,441.0,451.0,469.0,,Income Statement
"Non-Interest Income, Bank",1825.0,1826.0,1851.0,1856.0,2062.0,,Income Statement
Labor & Related Expenses,-1550.0,-1624.0,-1651.0,-1752.0,-1901.0,,Income Statement
Amortization of Intangibles,-26.0,-43.0,-31.0,-25.0,-19.0,,Income Statement
Other Expense,-1247.0,-1381.0,-1458.0,-1511.0,-1548.0,,Income Statement
"Non-Interest Expense, Bank",-2823.0,-3047.0,-3140.0,-3288.0,-3469.0,,Income Statement
Income Before Tax,1675.0,2058.0,2324.0,2508.0,2547.0,,Income Statement
Income Tax - Total,595.0,743.0,830.0,590.0,618.0,,Income Statement
Income After Tax,1080.0,1315.0,1494.0,1918.0,1929.0,,Income Statement
Net Inc Before Extra Items,1080.0,1315.0,1494.0,1918.0,1929.0,,Income Statement
Total Extraordinary Items,,,-85.0,,,,Income Statement
Total Net Income,1080.0,1315.0,1408.0,1918.0,1929.0,,Income Statement
Preferred Dividends,-81.0,-81.0,-73.0,-73.0,-69.0,,Income Statement
Misc Earnings Adjustment,-11.0,-10.0,-8.0,-10.0,-10.0,,Income Statement
Total Adjust to Net Income,-92.0,-92.0,-81.0,-82.0,-80.0,,Income Statement
Income Available to Common Excl. Extra. Items,988.0,1223.0,1413.0,1836.0,1850.0,,Income Statement
Income Available to Common Incl. Extra. Items,988.0,1223.0,1328.0,1836.0,1850.0,,Income Statement
Basic/Primary Weighted Average Shares,137.0,157.0,152.0,144.0,134.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,7.22,7.8,9.29,12.75,13.76,,Income Statement
Basic/Primary EPS Incl. Extra. Items,7.22,7.8,8.72,12.75,13.76,,Income Statement
Dilution Adjustment,,0.0,0.0,0.0,0.0,,Income Statement
Diluted Weighted Average Shares,138.0,157.0,153.0,144.0,134.0,,Income Statement
Diluted EPS Excl. Extra. Items,7.18,7.78,9.26,12.74,13.75,,Income Statement
Diluted EPS Incl. Extra. Items,7.18,7.78,8.7,12.74,13.75,,Income Statement
Div/Share-ComStockPrimIssue,2.8,2.8,3.0,3.55,4.1,,Income Statement
Gross Divid - Common Stock,375.0,442.0,457.0,510.0,552.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",99.0,107.0,110.0,105.0,210.0,,Income Statement
Normalzd Income Before Tax,1675.0,2058.0,2324.0,2508.0,2547.0,,Income Statement
