,Industry,Type,VRSK,Ratio to Industry
"Price/Earnings (TTM, GAAP)",47.47,Valuation,54.44,1.1468295765746788
Price/Sales (TTM),7.44,Valuation,9.69,1.3024193548387095
Price/Book (MRQ),5.99,Valuation,12.46,2.0801335559265444
"PEG Ratio (TTM, GAAP)",1.22,Valuation,6.2,5.081967213114754
Gross Profit Margin (TTM),0.5938,Profitability,0.6246,1.0518693162681039
Operating Profit Margin (TTM),0.0772,Profitability,0.2795,3.6204663212435233
Net Profit Margin (TTM),0.0348,Profitability,0.18230000000000002,5.238505747126438
Annual Dividend Yield,0.0078000000000000005,Dividend,0.0068000000000000005,0.8717948717948718
Dividend Change %,0.04360000000000001,Dividend,,
"Dividend Growth Rate, 3 Years",0.023700000000000002,Dividend,,
EPS Growth (MRQ),0.5049,Gowth rates,0.3027,0.5995246583481878
EPS Growth (TTM),0.3889,Gowth rates,-0.1822,-0.4685008999742864
Revenue Growth (MRQ),0.0936,Gowth rates,0.0192,0.2051282051282051
Revenue Growth (TTM),0.09390000000000001,Gowth rates,0.09550000000000002,1.0170394036208734
Return On Equity (TTM),0.145,Effectiveness,0.22920000000000001,1.580689655172414
Return On Assets (TTM),0.052000000000000005,Effectiveness,0.0734,1.4115384615384616
Return On Investment (TTM),0.06849999999999999,Effectiveness,0.09179999999999999,1.34014598540146
Revenue Per Employee (TTM),372741.0,Effectiveness,294912.0,0.791198177823207
Total Debt/Total Capital (MRQ),0.4169,Financial strength,0.5981000000000001,1.434636603502039
Change in Debt/Total Capital Quarter over Quarter,0.0005,Financial strength,0.0008,1.6
Quick Ratio (MRQ),0.0,Financial strength,,
Interest Coverage (MRQ),6.08,Financial strength,7.02,1.1546052631578947
