,VRSK
Price/Earnings (TTM),54.44403
Price/Sales (TTM),9.69037
Price/Book (MRQ),12.46327
Price/Cash Flow (TTM),31.64082
5yr Low,64.79
5yr High,171.73
5yr Avg Return,0.14806666666666668
EPS Growth 5yr,0.052335
Revenue Growth 5yr,0.1274507
Dividend Growth 5yr,
Short Int Current Month,1698871.0
Short Int Prev Month,1937615.0
Short Int Pct of Float,0.0105688
Days to Cover,1.87031
Float,160.5271
Shares Outstanding,162.2591
Institutions Holding Shares,941.0
% Held by Institutions,0.900569
FCF Growth 5yr,0.09642280871721824
