,VRSK
% Below High,0.0708
% Held by Institutions,0.9006000000000001
52-Wk Range,['116.61 - 171.73']
Annual Dividend $,1.08
Annual Dividend %,0.0068000000000000005
Ask,159.5
Ask Size,1400.0
B/A Ratio,2.4285714285714284
B/A Size,3400x1400
Beta,0.7
Bid,159.41
Bid Size,3400.0
Closing Price,159.57
Day Change $,1.3
Day Change %,0.008199999999999999
Day High,161.66
Day Low,158.2
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.36100000000000004
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.44
Prev Close,158.27
Short Interest,0.0106
Today's Open,160.11
Volume,636843.0
Volume 10-day Avg,912826.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.050808314087759765
Growth 1yr High Est,0.1360544217687074
Growth 1yr Consensus Est,0.09343136792823359
Growth 2yr Low Est,0.07265690429662719
Growth 2yr High Est,0.12191942645321596
Growth 2yr Consensus Est,0.09728816537492158
Growth 5yr Low Est,0.12782888073087417
Growth 5yr High Est,0.15041019241232684
Growth 5yr Consensus Est,0.1391195365716005
Growth 5yr Actual/Est,0.13499202761076806
Growth 3yr Historic,0.08651681560815877
Price/Earnings (TTM),54.44403
Price/Sales (TTM),9.69037
Price/Book (MRQ),12.46327
Price/Cash Flow (TTM),31.64082
5yr Low,64.79
5yr High,171.73
5yr Avg Return,0.14806666666666668
EPS Growth 5yr,0.052335
Revenue Growth 5yr,0.1274507
Dividend Growth 5yr,
Short Int Current Month,1698871.0
Short Int Prev Month,1937615.0
Short Int Pct of Float,0.0105688
Days to Cover,1.87031
Float,160.5271
Shares Outstanding,162.2591
Institutions Holding Shares,941.0
FCF Growth 5yr,0.09642280871721824
"Price/Earnings (TTM, GAAP)",54.44
"PEG Ratio (TTM, GAAP)",6.2
Gross Profit Margin (TTM),0.6246
Operating Profit Margin (TTM),0.2795
Net Profit Margin (TTM),0.18230000000000002
Annual Dividend Yield,0.0068000000000000005
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3027
EPS Growth (TTM),-0.1822
Revenue Growth (MRQ),0.0192
Revenue Growth (TTM),0.09550000000000002
Return On Equity (TTM),0.22920000000000001
Return On Assets (TTM),0.0734
Return On Investment (TTM),0.09179999999999999
Revenue Per Employee (TTM),294912.0
Total Debt/Total Capital (MRQ),0.5981000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.02
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,buy
creditSuisse,neutral
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-11 00:00:00
theStreet since,2012-10-09 00:00:00
creditSuisse since,2018-12-07 00:00:00
ford since,2017-01-13 00:00:00
