,MOS
% Above Low,0.8323
% Held by Institutions,0.784
52-Wk Range,['6.50 - 25.71']
Annual Dividend $,0.2
Annual Dividend %,0.018000000000000002
Ask,11.95
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.7
Bid,11.86
Bid Size,600.0
Closing Price,11.91
Day Change $,0.81
Day Change %,0.073
Day High,11.97
Day Low,11.35
Dividend Pay Date,2020-03-19 00:00:00
"EPS (TTM, GAAP)",-3.69
Ex-dividend,2020-03-04 00:00:00
Ex-dividend Date,03/04/20
Historical Volatility,0.7240000000000001
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.1
Short Interest,0.0409
Today's Open,11.35
Volume,5016210.0
Volume 10-day Avg,5435618.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0
Growth 2yr High Est,2.5
Growth 2yr Consensus Est,0.75
Growth 5yr Low Est,-1.0
Growth 5yr High Est,2.5
Growth 5yr Consensus Est,0.75
Growth 5yr Actual/Est,0.8718020872242922
Growth 3yr Historic,0.008644192487450214
Price/Earnings (TTM),
Price/Sales (TTM),0.47783
Price/Book (MRQ),0.50167
Price/Cash Flow (TTM),
5yr Low,6.5
5yr High,47.68
5yr Avg Return,-0.17201666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0033238
Dividend Growth 5yr,-0.29432030000000003
Short Int Current Month,14033164.0
Short Int Prev Month,12491536.0
Short Int Pct of Float,0.040896499999999995
Days to Cover,2.67775
Float,342.9774
Shares Outstanding,379.0205
Institutions Holding Shares,664.0
FCF Growth 5yr,0.04266287323445508
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.07150000000000001
Operating Profit Margin (TTM),-0.15480000000000002
Net Profit Margin (TTM),-0.1528
Annual Dividend Yield,0.018000000000000002
Dividend Change %,0.75
"Dividend Growth Rate, 3 Years",-0.4581
EPS Growth (MRQ),0.7796
EPS Growth (TTM),-3.5572000000000004
Revenue Growth (MRQ),-0.134
Revenue Growth (TTM),-0.0784
Return On Equity (TTM),-0.1476
Return On Assets (TTM),-0.0683
Return On Investment (TTM),-0.0806
Revenue Per Employee (TTM),698786.0
Total Debt/Total Capital (MRQ),0.3946
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),-0.26
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,4
theStreet,sell
creditSuisse,outperform
ford,5
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-08-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-06 00:00:00
theStreet since,2020-02-20 00:00:00
creditSuisse since,2019-05-07 00:00:00
ford since,2020-04-09 00:00:00
