,EQIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",113.75,32.22,Valuation,3.5304158907510863
Price/Sales (TTM),10.28,9.58,Valuation,1.0730688935281836
Price/Book (MRQ),6.69,5.69,Valuation,1.1757469244288226
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),0.4915,0.6416,Profitability,0.7660536159600998
Operating Profit Margin (TTM),0.19219999999999998,0.2959,Profitability,0.6495437647854004
Net Profit Margin (TTM),0.0901,0.2781,Profitability,0.3239841783531104
Annual Dividend Yield,0.0158,0.0434,Dividend,0.36405529953917054
Dividend Change %,0.0928,0.0707,Dividend,1.3125884016973126
"Dividend Growth Rate, 3 Years",0.1165,0.0641,Dividend,1.8174726989079564
EPS Growth (MRQ),-0.0507,0.5167,Gowth rates,-0.0981227017611767
EPS Growth (TTM),0.1595,0.2809,Gowth rates,0.5678177287290851
Revenue Growth (MRQ),0.0193,0.0848,Gowth rates,0.22759433962264153
Revenue Growth (TTM),0.08130000000000001,0.0765,Gowth rates,1.062745098039216
Return On Equity (TTM),0.059500000000000004,0.1253,Effectiveness,0.4748603351955308
Return On Assets (TTM),0.0221,0.0361,Effectiveness,0.6121883656509696
Return On Investment (TTM),0.0239,0.0395,Effectiveness,0.6050632911392405
Revenue Per Employee (TTM),673605.0,5431777.0,Effectiveness,0.1240119025504913
Total Debt/Total Capital (MRQ),0.5739,0.5589000000000001,Financial strength,1.026838432635534
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0003,Financial strength,-4.0
Quick Ratio (MRQ),,0.03,Financial strength,
Interest Coverage (MRQ),,2.49,Financial strength,
