,Industry,ROST,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.3,19.88,Valuation,0.8914798206278026
Price/Sales (TTM),202.03,2.03,Valuation,0.010048012671385437
Price/Book (MRQ),30.14,9.71,Valuation,0.3221632382216324
"PEG Ratio (TTM, GAAP)",1.1,2.69,Valuation,2.4454545454545453
Gross Profit Margin (TTM),0.3351,0.2807,Profitability,0.8376603998806327
Operating Profit Margin (TTM),0.0725,0.1338,Profitability,1.8455172413793106
Net Profit Margin (TTM),0.039900000000000005,0.1036,Profitability,2.596491228070175
Annual Dividend Yield,0.0167,0.0125,Dividend,0.7485029940119761
Dividend Change %,0.17579999999999998,0.1333,Dividend,0.7582480091012515
"Dividend Growth Rate, 3 Years",0.16570000000000001,0.2361,Dividend,1.424864212432106
EPS Growth (MRQ),0.33170000000000005,0.2364,Gowth rates,0.7126921917395236
EPS Growth (TTM),0.2023,0.07980000000000001,Gowth rates,0.39446366782006925
Revenue Growth (MRQ),0.0322,0.1466,Gowth rates,4.552795031055901
Revenue Growth (TTM),0.055999999999999994,0.0704,Gowth rates,1.2571428571428573
Return On Equity (TTM),0.5252,0.49840000000000007,Effectiveness,0.9489718202589491
Return On Assets (TTM),0.1512,0.2154,Effectiveness,1.4246031746031746
Return On Investment (TTM),0.2407,0.31010000000000004,Effectiveness,1.2883257166597426
Revenue Per Employee (TTM),323754.0,173395.0,Effectiveness,0.535576394422926
Total Debt/Total Capital (MRQ),0.7842,0.0852,Financial strength,0.10864575363427696
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0034999999999999996,Financial strength,4.374999999999999
Quick Ratio (MRQ),0.38,0.59,Financial strength,1.5526315789473684
Interest Coverage (MRQ),13.86,,Financial strength,
