,NWL
Price/Earnings (TTM),
Price/Sales (TTM),0.55059
Price/Book (MRQ),1.52376
Price/Cash Flow (TTM),
5yr Low,10.44
5yr High,55.45
5yr Avg Return,-0.14713333333333334
EPS Growth 5yr,-0.1997582
Revenue Growth 5yr,0.1114815
Dividend Growth 5yr,0.0686827
Short Int Current Month,19366926.0
Short Int Prev Month,18877202.0
Short Int Pct of Float,0.046130000000000004
Days to Cover,5.93293
Float,420.3148
Shares Outstanding,424.1
Institutions Holding Shares,731.0
% Held by Institutions,0.886214
FCF Growth 5yr,0.644583553752575
