,Industry,NWL,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.95,,Valuation,
Price/Sales (TTM),5569259.6,0.55,Valuation,9.875639483567978e-08
Price/Book (MRQ),9667.18,1.52,Valuation,0.0001572330296942852
"PEG Ratio (TTM, GAAP)",0.35,,Valuation,
Gross Profit Margin (TTM),0.2198,0.33280000000000004,Profitability,1.5141037306642404
Operating Profit Margin (TTM),-3.3112,-0.20190000000000002,Profitability,0.06097487315776758
Net Profit Margin (TTM),-3.3248,-0.1066,Profitability,0.032062078922040424
Annual Dividend Yield,0.0125,0.0741,Dividend,5.928
Dividend Change %,0.0536,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0424,0.0658,Dividend,1.5518867924528301
EPS Growth (MRQ),4.1919,-3.3114999999999997,Gowth rates,-0.789975905913786
EPS Growth (TTM),0.4582,0.8295,Gowth rates,1.8103448275862069
Revenue Growth (MRQ),-0.151,-0.3663,Gowth rates,2.4258278145695367
Revenue Growth (TTM),-0.1503,-0.07940000000000001,Gowth rates,0.5282767797737858
Return On Equity (TTM),0.1404,-0.2425,Effectiveness,-1.7272079772079771
Return On Assets (TTM),0.0666,-0.0637,Effectiveness,-0.9564564564564565
Return On Investment (TTM),0.0836,-0.0801,Effectiveness,-0.9581339712918662
Revenue Per Employee (TTM),968436.0,318630.0,Effectiveness,0.32901503042018265
Total Debt/Total Capital (MRQ),0.2663,0.6335000000000001,Financial strength,2.3788959819752162
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0008,Financial strength,-2.0
Quick Ratio (MRQ),0.57,0.75,Financial strength,1.3157894736842106
Interest Coverage (MRQ),22.35,1.1,Financial strength,0.049217002237136466
