,PBCT
% Above Low,0.2871
% Held by Institutions,0.7542
52-Wk Range,['9.37 - 17.22']
Annual Dividend $,0.72
Annual Dividend %,0.062400000000000004
Ask,12.2
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,1.3
Bid,12.05
Bid Size,1000.0
Closing Price,12.06
Day Change $,0.52
Day Change %,0.0451
Day High,12.09
Day Low,11.73
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.27
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.49200000000000005
Last (size),315.0
Last (time),3:59p ET 05/08/20
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.48
Prev Close,11.54
Short Interest,0.0425
Today's Open,11.76
Volume,1728736.0
Volume 10-day Avg,3867687.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5820895522388059
Growth 1yr High Est,-0.08088235294117652
Growth 1yr Consensus Est,-0.3314859525899912
Growth 2yr Low Est,-0.21068763326226014
Growth 2yr High Est,-0.016441176470588237
Growth 2yr Consensus Est,-0.11356440486642419
Growth 5yr Low Est,0.003544406580098969
Growth 5yr High Est,0.07882139649753031
Growth 5yr Consensus Est,0.04118290153881464
Growth 5yr Actual/Est,0.04791686657416172
Growth 3yr Historic,0.09846147761430152
Price/Earnings (TTM),9.48247
Price/Sales (TTM),2.64563
Price/Book (MRQ),0.69216
Price/Cash Flow (TTM),11.30306
5yr Low,9.37
5yr High,20.26
5yr Avg Return,-0.018299999999999993
EPS Growth 5yr,0.0869622
Revenue Growth 5yr,0.1278838
Dividend Growth 5yr,0.0147665
Short Int Current Month,17928386.0
Short Int Prev Month,17742499.0
Short Int Pct of Float,0.042512100000000004
Days to Cover,4.45501
Float,417.1944
Shares Outstanding,424.6616
Institutions Holding Shares,681.0
FCF Growth 5yr,0.0708236787560443
"Price/Earnings (TTM, GAAP)",9.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3482
Net Profit Margin (TTM),0.27690000000000003
Annual Dividend Yield,0.059699999999999996
Dividend Change %,0.0143
"Dividend Growth Rate, 3 Years",0.014499999999999999
EPS Growth (MRQ),-0.061200000000000004
EPS Growth (TTM),0.011200000000000002
Revenue Growth (MRQ),0.0046
Revenue Growth (TTM),0.1843
Return On Equity (TTM),0.0753
Return On Assets (TTM),0.0099
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,
ford since,2020-02-07 00:00:00
creditSuisse since,
