,FRT
% Above Low,0.2078
% Held by Institutions,0.9137000000000001
52-Wk Range,['64.68 - 141.35']
Annual Dividend $,4.2
Annual Dividend %,0.055999999999999994
Ask,78.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,78.04
Bid Size,100.0
Closing Price,78.12
Day Change $,3.13
Day Change %,0.0417
Day High,79.86
Day Low,76.26
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2020-06-19 00:00:00
Ex-dividend Date,06/19/20
Historical Volatility,0.507
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,5.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.59
Prev Close,74.99
Short Interest,0.029300000000000003
Today's Open,76.28
Volume,728905.0
Volume 10-day Avg,1126058.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.26813880126182965
Growth 1yr High Est,0.0644171779141105
Growth 1yr Consensus Est,-0.10186081167385957
Growth 2yr Low Est,-0.12975905580332864
Growth 2yr High Est,0.06679072152189669
Growth 2yr Consensus Est,-0.031484167140715974
Growth 5yr Low Est,-0.061684639722750595
Growth 5yr High Est,-0.015865722982894015
Growth 5yr Consensus Est,-0.038775181352822305
Growth 5yr Actual/Est,-0.018104061791852616
Growth 3yr Historic,0.06267327281656448
Price/Earnings (TTM),16.59093
Price/Sales (TTM),6.06525
Price/Book (MRQ),2.42129
Price/Cash Flow (TTM),9.62186
5yr Low,64.68
5yr High,171.08
5yr Avg Return,-0.06823333333333333
EPS Growth 5yr,0.1443852
Revenue Growth 5yr,0.06404320000000001
Dividend Growth 5yr,0.0463989
Short Int Current Month,2197755.0
Short Int Prev Month,1996185.0
Short Int Pct of Float,0.0293124
Days to Cover,3.30691
Float,74.96654
Shares Outstanding,75.63304
Institutions Holding Shares,620.0
FCF Growth 5yr,0.022919928769083952
"Price/Earnings (TTM, GAAP)",16.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.679
Operating Profit Margin (TTM),0.4979
Net Profit Margin (TTM),0.37979999999999997
Annual Dividend Yield,0.055999999999999994
Dividend Change %,0.0248
"Dividend Growth Rate, 3 Years",0.025400000000000002
EPS Growth (MRQ),-0.6381
EPS Growth (TTM),0.44560000000000005
Revenue Growth (MRQ),-0.0317
Revenue Growth (TTM),0.0139
Return On Equity (TTM),0.1485
Return On Assets (TTM),0.050300000000000004
Return On Investment (TTM),0.0553
Revenue Per Employee (TTM),3036098.0
Total Debt/Total Capital (MRQ),0.616
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.93
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,3
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2020-03-24 00:00:00
cfra since,2016-03-05 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
