,FRT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.59,32.22,Valuation,0.5148975791433892
Price/Sales (TTM),6.07,9.58,Valuation,0.6336116910229646
Price/Book (MRQ),2.42,5.69,Valuation,0.4253075571177504
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),0.679,0.6416,Profitability,1.0582917705735662
Operating Profit Margin (TTM),0.4979,0.2959,Profitability,1.682663061845218
Net Profit Margin (TTM),0.37979999999999997,0.2781,Profitability,1.3656957928802587
Annual Dividend Yield,0.055999999999999994,0.0434,Dividend,1.290322580645161
Dividend Change %,0.0248,0.0707,Dividend,0.3507779349363508
"Dividend Growth Rate, 3 Years",0.025400000000000002,0.0641,Dividend,0.3962558502340094
EPS Growth (MRQ),-0.6381,0.5167,Gowth rates,-1.234952583704277
EPS Growth (TTM),0.44560000000000005,0.2809,Gowth rates,1.5863296546813817
Revenue Growth (MRQ),-0.0317,0.0848,Gowth rates,-0.3738207547169811
Revenue Growth (TTM),0.0139,0.0765,Gowth rates,0.18169934640522875
Return On Equity (TTM),0.1485,0.1253,Effectiveness,1.1851556264964087
Return On Assets (TTM),0.050300000000000004,0.0361,Effectiveness,1.3933518005540166
Return On Investment (TTM),0.0553,0.0395,Effectiveness,1.4000000000000001
Revenue Per Employee (TTM),3036098.0,5431777.0,Effectiveness,0.5589511498723162
Total Debt/Total Capital (MRQ),0.616,0.5589000000000001,Financial strength,1.1021649668992664
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0003,Financial strength,-0.6666666666666667
Quick Ratio (MRQ),,0.03,Financial strength,
Interest Coverage (MRQ),2.93,2.49,Financial strength,1.176706827309237
