,HAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.84,66.41,Valuation,0.31380816142147266
Price/Sales (TTM),1.84,0.95,Valuation,1.9368421052631581
Price/Book (MRQ),3.43,6.58,Valuation,0.5212765957446809
"PEG Ratio (TTM, GAAP)",1.98,4.0,Valuation,0.495
Gross Profit Margin (TTM),0.5527000000000001,0.29660000000000003,Profitability,1.863452461227242
Operating Profit Margin (TTM),0.09460000000000002,0.0475,Profitability,1.9915789473684213
Net Profit Margin (TTM),0.0836,0.028900000000000002,Profitability,2.8927335640138403
Annual Dividend Yield,0.0398,0.0161,Dividend,2.472049689440994
Dividend Change %,0.08539999999999999,0.0402,Dividend,2.124378109452736
"Dividend Growth Rate, 3 Years",0.10289999999999999,0.0365,Dividend,2.819178082191781
EPS Growth (MRQ),-1.2528000000000001,-0.7011000000000001,Gowth rates,1.7869062901155328
EPS Growth (TTM),0.18670000000000003,-0.16579999999999998,Gowth rates,-1.1260554885404106
Revenue Growth (MRQ),-0.2258,0.09210000000000002,Gowth rates,-2.4516829533116176
Revenue Growth (TTM),0.1082,0.046200000000000005,Gowth rates,2.3419913419913416
Return On Equity (TTM),0.1935,0.0696,Effectiveness,2.7801724137931036
Return On Assets (TTM),0.0555,0.0305,Effectiveness,1.819672131147541
Return On Investment (TTM),0.0675,0.0385,Effectiveness,1.7532467532467533
Revenue Per Employee (TTM),909516.0,419063.0,Effectiveness,2.170356247151383
Total Debt/Total Capital (MRQ),0.6520999999999999,0.41350000000000003,Financial strength,1.5770253929866986
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005,0.0026000000000000003,Financial strength,1.7307692307692308
Quick Ratio (MRQ),1.65,1.78,Financial strength,0.9269662921348314
Interest Coverage (MRQ),2.66,2.86,Financial strength,0.9300699300699301
