,HAS
% Above Low,0.6864
% Held by Institutions,0.8506999999999999
52-Wk Range,['41.33 - 126.87']
Annual Dividend $,2.72
Annual Dividend %,0.0398
Ask,69.99
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,68.0
Bid Size,200.0
Closing Price,69.7
Day Change $,1.32
Day Change %,0.019299999999999998
Day High,69.92
Day Low,68.22
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.537
Last (size),30.0
Last (time),3:59p ET 05/08/20
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.84
Prev Close,68.38
Short Interest,0.0242
Today's Open,68.99
Volume,719308.0
Volume 10-day Avg,1558574.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.29209621993127133
Growth 2yr High Est,0.2713936430317849
Growth 2yr Consensus Est,0.2817449314815281
Growth 5yr Low Est,0.29209621993127133
Growth 5yr High Est,0.2713936430317849
Growth 5yr Consensus Est,0.2817449314815281
Growth 5yr Actual/Est,-0.03370199448665534
Growth 3yr Historic,-0.058782883782883794
Price/Earnings (TTM),20.84229
Price/Sales (TTM),1.83939
Price/Book (MRQ),3.43267
Price/Cash Flow (TTM),14.91005
5yr Low,41.33
5yr High,126.87
5yr Avg Return,0.023883333333333333
EPS Growth 5yr,0.0481055
Revenue Growth 5yr,0.0199069
Dividend Growth 5yr,0.0957839
Short Int Current Month,3071520.0
Short Int Prev Month,2801293.0
Short Int Pct of Float,0.0242484
Days to Cover,2.26249
Float,126.6708
Shares Outstanding,137.0069
Institutions Holding Shares,854.0
FCF Growth 5yr,0.06352530625112351
"Price/Earnings (TTM, GAAP)",20.84
"PEG Ratio (TTM, GAAP)",1.98
Gross Profit Margin (TTM),0.5527000000000001
Operating Profit Margin (TTM),0.09460000000000002
Net Profit Margin (TTM),0.0836
Annual Dividend Yield,0.0398
Dividend Change %,0.08539999999999999
"Dividend Growth Rate, 3 Years",0.10289999999999999
EPS Growth (MRQ),-1.2528000000000001
EPS Growth (TTM),0.18670000000000003
Revenue Growth (MRQ),-0.2258
Revenue Growth (TTM),0.1082
Return On Equity (TTM),0.1935
Return On Assets (TTM),0.0555
Return On Investment (TTM),0.0675
Revenue Per Employee (TTM),909516.0
Total Debt/Total Capital (MRQ),0.6520999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),1.65
Interest Coverage (MRQ),2.66
newConstructs,1
researchTeam,hold
cfra,4
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-06 00:00:00
cfra since,2019-07-23 00:00:00
theStreet since,2020-03-12 00:00:00
ford since,2019-12-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
