,Industry,LNC,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.9,10.44,Valuation,0.8773109243697478
Price/Sales (TTM),3.79,0.38,Valuation,0.10026385224274406
Price/Book (MRQ),2.87,0.41,Valuation,0.14285714285714285
"PEG Ratio (TTM, GAAP)",0.14,1.06,Valuation,7.571428571428571
Gross Profit Margin (TTM),0.0161,,Profitability,
Operating Profit Margin (TTM),0.10220000000000001,0.060599999999999994,Profitability,0.5929549902152641
Net Profit Margin (TTM),0.069,0.037700000000000004,Profitability,0.5463768115942029
Annual Dividend Yield,0.026099999999999998,0.046,Dividend,1.7624521072796935
Dividend Change %,0.0658,0.12119999999999999,Dividend,1.8419452887537993
"Dividend Growth Rate, 3 Years",0.1061,0.1396,Dividend,1.3157398680490104
EPS Growth (MRQ),-0.1369,-0.8736,Gowth rates,6.3813002191380575
EPS Growth (TTM),0.8539,-0.5264,Gowth rates,-0.6164656282937112
Revenue Growth (MRQ),0.1629,0.0182,Gowth rates,0.11172498465316145
Revenue Growth (TTM),0.0974,0.053899999999999997,Gowth rates,0.553388090349076
Return On Equity (TTM),0.1313,0.0406,Effectiveness,0.3092155369383092
Return On Assets (TTM),0.0302,0.0021,Effectiveness,0.0695364238410596
Return On Investment (TTM),0.0234,,Effectiveness,
Revenue Per Employee (TTM),1167261.0,1560888.0,Effectiveness,1.3372227805092434
Total Debt/Total Capital (MRQ),0.2986,0.2893,Financial strength,0.9688546550569325
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0003,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),10.16,1.68,Financial strength,0.1653543307086614
