,LNC
% Above Low,1.2749
% Held by Institutions,0.8411
52-Wk Range,['16.11 - 67.17']
Annual Dividend $,1.6
Annual Dividend %,0.046
Ask,37.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.2
Bid,35.0
Bid Size,500.0
Closing Price,36.65
Day Change $,1.88
Day Change %,0.0541
Day High,36.74
Day Low,34.78
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.833
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.44
Prev Close,34.77
Short Interest,0.0446
Today's Open,35.78
Volume,2829547.0
Volume 10-day Avg,2303110.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.21765601217656005
Growth 1yr High Est,0.4230769230769229
Growth 1yr Consensus Est,0.3203664676267415
Growth 2yr Low Est,0.16195300608828
Growth 2yr High Est,0.28118503118503124
Growth 2yr Consensus Est,0.22156901863665562
Growth 5yr Low Est,0.05030621993741621
Growth 5yr High Est,0.11193882009099401
Growth 5yr Consensus Est,0.08112252001420511
Growth 5yr Actual/Est,0.07085506589629645
Growth 3yr Historic,-0.030037829704265245
Price/Earnings (TTM),10.44248
Price/Sales (TTM),0.37898
Price/Book (MRQ),0.4053
Price/Cash Flow (TTM),10.08732
5yr Low,16.11
5yr High,86.68
5yr Avg Return,-0.032966666666666665
EPS Growth 5yr,-0.0531556
Revenue Growth 5yr,0.0494399
Dividend Growth 5yr,0.1825414
Short Int Current Month,8659257.0
Short Int Prev Month,5992178.0
Short Int Pct of Float,0.0446422
Days to Cover,2.56863
Float,191.8817
Shares Outstanding,193.217
Institutions Holding Shares,820.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.44
"PEG Ratio (TTM, GAAP)",1.06
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.060599999999999994
Net Profit Margin (TTM),0.037700000000000004
Annual Dividend Yield,0.046
Dividend Change %,0.12119999999999999
"Dividend Growth Rate, 3 Years",0.1396
EPS Growth (MRQ),-0.8736
EPS Growth (TTM),-0.5264
Revenue Growth (MRQ),0.0182
Revenue Growth (TTM),0.053899999999999997
Return On Equity (TTM),0.0406
Return On Assets (TTM),0.0021
Return On Investment (TTM),
Revenue Per Employee (TTM),1560888.0
Total Debt/Total Capital (MRQ),0.2893
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.68
newConstructs,3
researchTeam,hold
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
creditSuisse,neutral
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-08-09 00:00:00
creditSuisse since,2018-04-24 00:00:00
ford since,2019-12-20 00:00:00
