,Industry,LVS,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.2,17.25,Valuation,0.8136792452830189
Price/Sales (TTM),8.37,3.05,Valuation,0.3643966547192354
Price/Book (MRQ),4.01,8.06,Valuation,2.00997506234414
"PEG Ratio (TTM, GAAP)",18.88,,Valuation,
Gross Profit Margin (TTM),0.41659999999999997,0.49310000000000004,Profitability,1.1836293807009124
Operating Profit Margin (TTM),0.2093,0.2791,Profitability,1.3334925943621596
Net Profit Margin (TTM),0.125,0.2113,Profitability,1.6904
Annual Dividend Yield,0.016399999999999998,,Dividend,
Dividend Change %,0.1189,0.0267,Dividend,0.22455845248107653
"Dividend Growth Rate, 3 Years",0.0888,0.0226,Dividend,0.25450450450450446
EPS Growth (MRQ),-0.6061,-1.0016,Gowth rates,1.6525325853819504
EPS Growth (TTM),0.011200000000000002,-0.051100000000000007,Gowth rates,-4.5625
Revenue Growth (MRQ),-0.0718,-0.4922,Gowth rates,6.855153203342619
Revenue Growth (TTM),0.0302,-0.1392,Gowth rates,-4.6092715231788075
Return On Equity (TTM),0.1537,0.42240000000000005,Effectiveness,2.7482108002602477
Return On Assets (TTM),0.10130000000000002,0.11539999999999999,Effectiveness,1.1391905231984203
Return On Investment (TTM),0.1311,0.1384,Effectiveness,1.0556826849733028
Revenue Per Employee (TTM),156145.0,237500.0,Effectiveness,1.521022126869256
Total Debt/Total Capital (MRQ),1.3178999999999998,0.6931,Financial strength,0.5259124364519312
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0008,Financial strength,4.0
Quick Ratio (MRQ),1.0,1.43,Financial strength,1.43
Interest Coverage (MRQ),6.91,0.51,Financial strength,0.07380607814761216
