,Industry,SBAC,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.4,,Valuation,
Price/Sales (TTM),9.71,15.98,Valuation,1.6457260556127702
Price/Book (MRQ),5.73,,Valuation,
"PEG Ratio (TTM, GAAP)",1.01,,Valuation,
Gross Profit Margin (TTM),0.6411,0.7622,Profitability,1.1888940882857588
Operating Profit Margin (TTM),0.2958,0.2836,Profitability,0.9587559161595673
Net Profit Margin (TTM),0.2767,-0.0033000000000000004,Profitability,-0.011926273942898448
Annual Dividend Yield,0.0405,0.0064,Dividend,0.1580246913580247
Dividend Change %,0.0702,,Dividend,
"Dividend Growth Rate, 3 Years",0.0636,,Dividend,
EPS Growth (MRQ),0.5114,-2.9268,Gowth rates,-5.723113023073915
EPS Growth (TTM),0.331,-1.2715,Gowth rates,-3.8413897280966767
Revenue Growth (MRQ),0.0825,0.006600000000000001,Gowth rates,0.08
Revenue Growth (TTM),0.0736,0.0725,Gowth rates,0.9850543478260869
Return On Equity (TTM),0.1243,,Effectiveness,
Return On Assets (TTM),0.0357,-0.0007000000000000001,Effectiveness,-0.0196078431372549
Return On Investment (TTM),0.0391,-0.0008,Effectiveness,-0.020460358056265983
Revenue Per Employee (TTM),5328915.0,1381979.0,Effectiveness,0.2593359060897012
Total Debt/Total Capital (MRQ),0.5574,1.6862000000000001,Financial strength,3.0251166128453537
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0008,Financial strength,2.0
Quick Ratio (MRQ),0.03,,Financial strength,
Interest Coverage (MRQ),2.37,1.65,Financial strength,0.6962025316455696
