,SBAC
% Below High,0.0796
% Held by Institutions,0.948
52-Wk Range,['199.22 - 317.11']
Annual Dividend $,1.86
Annual Dividend %,0.006500000000000001
Ask,304.09
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,280.0
Bid Size,200.0
Closing Price,291.86
Day Change $,5.73
Day Change %,0.02
Day High,294.43
Day Low,289.09
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",-0.08
Ex-dividend,2020-05-27 00:00:00
Ex-dividend Date,05/27/20
Historical Volatility,0.402
Last (size),18600.0
Last (time),4:15p ET 05/08/20
Market Cap,32.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,286.13
Short Interest,0.013600000000000001
Today's Open,291.12
Volume,708498.0
Volume 10-day Avg,842971.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-107.49999999999999
Growth 2yr High Est,0.3524904214559388
Growth 2yr Consensus Est,-53.57375478927202
Growth 5yr Low Est,-107.49999999999999
Growth 5yr High Est,0.3524904214559388
Growth 5yr Consensus Est,-53.57375478927202
Growth 5yr Actual/Est,0.7729122092328139
Growth 3yr Historic,0.3996738513896767
Price/Earnings (TTM),
Price/Sales (TTM),15.98241
Price/Book (MRQ),
Price/Cash Flow (TTM),46.36369
5yr Low,82.8
5yr High,317.11
5yr Avg Return,0.19265000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.056993
Dividend Growth 5yr,
Short Int Current Month,1510735.0
Short Int Prev Month,1676378.0
Short Int Pct of Float,0.013634299999999999
Days to Cover,1.81853
Float,110.2444
Shares Outstanding,111.6249
Institutions Holding Shares,850.0
FCF Growth 5yr,0.09893639621102168
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7622
Operating Profit Margin (TTM),0.2836
Net Profit Margin (TTM),-0.0033000000000000004
Annual Dividend Yield,0.0064
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.9268
EPS Growth (TTM),-1.2715
Revenue Growth (MRQ),0.006600000000000001
Revenue Growth (TTM),0.0725
Return On Equity (TTM),
Return On Assets (TTM),-0.0007000000000000001
Return On Investment (TTM),-0.0008
Revenue Per Employee (TTM),1381979.0
Total Debt/Total Capital (MRQ),1.6862000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.65
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,-2
cfra,3
theStreet,hold
creditSuisse,outperform
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2017-03-09 00:00:00
theStreet since,2020-05-06 00:00:00
creditSuisse since,2020-04-28 00:00:00
ford since,2020-02-28 00:00:00
