,UAA
% Above Low,0.3514
% Held by Institutions,0.8864
52-Wk Range,['7.39 - 27.72']
Annual Dividend $,
Annual Dividend %,
Ask,10.25
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.2
Bid,10.05
Bid Size,100.0
Closing Price,9.98
Day Change $,0.37
Day Change %,0.0385
Day High,10.05
Day Low,9.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.2
Ex-dividend Date,No dividend
Historical Volatility,0.645
Last (size),19.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.24
Prev Close,9.61
Short Interest,0.14730000000000001
Today's Open,9.9
Volume,15619998.0
Volume 10-day Avg,7209874.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-4.272727272727273
Growth 1yr High Est,-0.5714285714285714
Growth 1yr Consensus Est,-2.4220779220779223
Growth 2yr Low Est,-2.622474747474748
Growth 2yr High Est,0.5476190476190478
Growth 2yr Consensus Est,-1.03742784992785
Growth 5yr Low Est,-1.075943256090315
Growth 5yr High Est,0.4042443064182195
Growth 5yr Consensus Est,-0.33584947483604777
Growth 5yr Actual/Est,-0.7064700149065474
Growth 3yr Historic,0.17007797270955166
Price/Earnings (TTM),49.24261
Price/Sales (TTM),0.81106
Price/Book (MRQ),2.09696
Price/Cash Flow (TTM),13.09436
5yr Low,7.39
5yr High,105.89
5yr Avg Return,-0.20278333333333332
EPS Growth 5yr,-0.2654262
Revenue Growth 5yr,0.1129651
Dividend Growth 5yr,
Short Int Current Month,27653579.0
Short Int Prev Month,26172847.0
Short Int Pct of Float,0.1473342
Days to Cover,5.11041
Float,381.9186
Shares Outstanding,451.9214
Institutions Holding Shares,584.0
FCF Growth 5yr,-2.3237938734376558
"Price/Earnings (TTM, GAAP)",49.24
"PEG Ratio (TTM, GAAP)",6.37
Gross Profit Margin (TTM),0.469
Operating Profit Margin (TTM),0.045
Net Profit Margin (TTM),0.0265
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1506
EPS Growth (TTM),10.064
Revenue Growth (MRQ),0.008199999999999999
Revenue Growth (TTM),0.014199999999999999
Return On Equity (TTM),0.0442
Return On Assets (TTM),0.0308
Return On Investment (TTM),0.044000000000000004
Revenue Per Employee (TTM),752447.0
Total Debt/Total Capital (MRQ),0.2161
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),13.91
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,sell
cfra,2
ford,4
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-02-12 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-22 00:00:00
cfra since,2019-02-12 00:00:00
ford since,2020-02-14 00:00:00
creditSuisse since,2018-05-01 00:00:00
